iteration,train_loss,train_perplexity
1,46.443651,485165195.409790
50,30.089630,485165195.409790
100,25.637922,485165195.409790
150,24.081603,485165195.409790
200,23.369159,485165195.409790
250,22.767938,485165195.409790
300,22.474340,485165195.409790
350,22.298387,485165195.409790
400,22.140949,485165195.409790
450,22.015180,485165195.409790
500,21.889047,485165195.409790
550,21.749727,485165195.409790
600,21.666957,485165195.409790
650,21.602260,485165195.409790
700,21.523033,485165195.409790
750,21.449420,485165195.409790
800,21.388361,485165195.409790
850,21.357005,485165195.409790
900,21.310476,485165195.409790
950,21.281476,485165195.409790
1000,21.233435,485165195.409790
1050,21.188204,485165195.409790
1100,21.144442,485165195.409790
1150,21.100547,485165195.409790
1200,21.068905,485165195.409790
1250,21.041224,485165195.409790
1300,21.004383,485165195.409790
1350,20.961822,485165195.409790
1400,20.915877,485165195.409790
1450,20.896727,485165195.409790
1500,20.843101,485165195.409790
1550,20.803207,485165195.409790
1600,20.779145,485165195.409790
1650,20.740478,485165195.409790
1700,20.698175,485165195.409790
1750,20.675958,485165195.409790
1800,20.652691,485165195.409790
1850,20.622096,485165195.409790
1900,20.600678,485165195.409790
1950,20.567838,485165195.409790
2000,20.546257,485165195.409790
2050,20.518637,485165195.409790
2100,20.503032,485165195.409790
2150,20.486610,485165195.409790
2200,20.466117,485165195.409790
2250,20.442532,485165195.409790
2300,20.430701,485165195.409790
2350,20.410036,485165195.409790
2400,20.394216,485165195.409790
2450,20.368786,485165195.409790
2500,20.340527,485165195.409790
2550,20.317042,485165195.409790
2600,20.309170,485165195.409790
