iteration,train_loss,train_perplexity
1,46.443651,485165195.409790
50,40.856077,485165195.409790
100,32.743281,485165195.409790
150,29.575278,485165195.409790
200,27.704821,485165195.409790
250,26.177580,485165195.409790
300,25.236375,485165195.409790
350,24.594429,485165195.409790
400,24.076395,485165195.409790
450,23.666838,485165195.409790
500,23.310388,485165195.409790
550,22.979319,485165195.409790
600,22.736564,485165195.409790
650,22.534692,485165195.409790
700,22.333367,485165195.409790
750,22.158667,485165195.409790
800,22.011632,485165195.409790
850,21.907734,485165195.409790
900,21.795047,485165195.409790
950,21.706227,485165195.409790
1000,21.604220,485165195.409790
1050,21.513359,485165195.409790
1100,21.431267,485165195.409790
1150,21.350726,485165195.409790
1200,21.286251,485165195.409790
1250,21.231103,485165195.409790
1300,21.169678,485165195.409790
1350,21.103759,485165195.409790
1400,21.037902,485165195.409790
1450,21.002270,485165195.409790
1500,20.936002,485165195.409790
1550,20.883865,485165195.409790
1600,20.848174,485165195.409790
1650,20.801155,485165195.409790
1700,20.751516,485165195.409790
1750,20.720920,485165195.409790
1800,20.691906,485165195.409790
1850,20.657013,485165195.409790
1900,20.631716,485165195.409790
1950,20.596005,485165195.409790
2000,20.571522,485165195.409790
2050,20.543302,485165195.409790
2100,20.526775,485165195.409790
2150,20.509902,485165195.409790
2200,20.489925,485165195.409790
2250,20.467726,485165195.409790
2300,20.456263,485165195.409790
2350,20.437913,485165195.409790
2400,20.424175,485165195.409790
2450,20.401715,485165195.409790
2500,20.376341,485165195.409790
2550,20.355851,485165195.409790
2600,20.350834,485165195.409790
