iteration,train_loss,train_accuracy
50,0.6900,0.5369
100,0.6897,0.5366
150,0.6876,0.5500
200,0.6643,0.6091
250,0.6117,0.6535
300,0.5693,0.6853
350,0.5341,0.7102
400,0.5020,0.7329
450,0.4796,0.7488
500,0.4617,0.7618
550,0.4463,0.7729
600,0.4329,0.7815
650,0.4213,0.7895
700,0.4110,0.7963
750,0.4017,0.8021
800,0.3929,0.8080
850,0.3844,0.8139
900,0.3773,0.8186
950,0.3712,0.8225
1000,0.3657,0.8261
1050,0.3603,0.8297
1100,0.3559,0.8327
1150,0.3515,0.8350
1200,0.3483,0.8369
1250,0.3451,0.8388
1300,0.3416,0.8410
1350,0.3387,0.8430
1400,0.3345,0.8456
1450,0.3312,0.8478
1500,0.3280,0.8497
1550,0.3261,0.8509
1600,0.3230,0.8529
1650,0.3206,0.8544
1700,0.3181,0.8559
1750,0.3160,0.8573
1800,0.3141,0.8587
1850,0.3118,0.8601
1900,0.3099,0.8612
1950,0.3080,0.8624
2000,0.3061,0.8636
2050,0.3044,0.8647
2100,0.3026,0.8656
2150,0.2120,0.9178
2200,0.2091,0.9183
2250,0.2108,0.9187
2300,0.2101,0.9188
2350,0.2094,0.9196
2400,0.2078,0.9204
2450,0.2061,0.9210
2500,0.2054,0.9221
2550,0.2054,0.9219
2600,0.2041,0.9228
2650,0.2026,0.9232
2700,0.2041,0.9226
2750,0.2034,0.9227
2800,0.2030,0.9223
2850,0.2022,0.9233
2900,0.2016,0.9236
2950,0.2017,0.9235
3000,0.2012,0.9233
3050,0.2004,0.9240
3100,0.2003,0.9241
3150,0.2004,0.9241
3200,0.2011,0.9240
3250,0.2003,0.9244
3300,0.1998,0.9246
3350,0.1985,0.9248
3400,0.1989,0.9244
3450,0.1985,0.9246
3500,0.1989,0.9246
3550,0.1985,0.9249
3600,0.1978,0.9253
3650,0.1983,0.9250
3700,0.1980,0.9251
3750,0.1976,0.9255
3800,0.1968,0.9261
3850,0.1966,0.9259
3900,0.1964,0.9261
3950,0.1965,0.9261
4000,0.1965,0.9261
4050,0.1968,0.9260
4100,0.1976,0.9256
4150,0.1973,0.9256
4200,0.1974,0.9257
4250,0.1617,0.9390
4300,0.1634,0.9375
4350,0.1635,0.9375
4400,0.1641,0.9375
4450,0.1665,0.9362
4500,0.1642,0.9375
4550,0.1639,0.9385
4600,0.1639,0.9391
4650,0.1649,0.9386
4700,0.1657,0.9384
4750,0.1643,0.9384
4800,0.1631,0.9387
4850,0.1647,0.9382
4900,0.1630,0.9392
4950,0.1632,0.9394
5000,0.1631,0.9397
5050,0.1646,0.9392
5100,0.1646,0.9392
5150,0.1643,0.9395
5200,0.1646,0.9394
5250,0.1640,0.9395
5300,0.1635,0.9399
5350,0.1636,0.9401
5400,0.1628,0.9402
5450,0.1632,0.9399
5500,0.1636,0.9396
5550,0.1634,0.9397
5600,0.1631,0.9399
5650,0.1629,0.9402
5700,0.1630,0.9401
5750,0.1632,0.9399
5800,0.1640,0.9396
5850,0.1641,0.9396
5900,0.1644,0.9394
5950,0.1647,0.9393
6000,0.1645,0.9395
6050,0.1646,0.9395
6100,0.1650,0.9393
6150,0.1651,0.9392
6200,0.1655,0.9390
6250,0.1656,0.9389
6300,0.1652,0.9389
6350,0.1186,0.9605
6400,0.1236,0.9556
6450,0.1207,0.9577
6500,0.1197,0.9586
6550,0.1229,0.9580
6600,0.1276,0.9565
6650,0.1247,0.9577
6700,0.1277,0.9572
6750,0.1274,0.9570
6800,0.1265,0.9571
6850,0.1275,0.9567
6900,0.1295,0.9557
6950,0.1290,0.9557
7000,0.1290,0.9557
7050,0.1290,0.9558
7100,0.1298,0.9557
7150,0.1291,0.9557
7200,0.1299,0.9551
7250,0.1310,0.9545
7300,0.1316,0.9543
7350,0.1322,0.9539
7400,0.1323,0.9536
7450,0.1325,0.9535
7500,0.1335,0.9532
7550,0.1341,0.9528
7600,0.1346,0.9530
7650,0.1350,0.9529
7700,0.1346,0.9531
7750,0.1337,0.9535
7800,0.1339,0.9534
7850,0.1339,0.9534
7900,0.1342,0.9533
7950,0.1341,0.9531
8000,0.1343,0.9529
8050,0.1340,0.9530
8100,0.1342,0.9530
8150,0.1340,0.9528
8200,0.1339,0.9528
8250,0.1338,0.9529
8300,0.1344,0.9525
8350,0.1346,0.9524
8400,0.1341,0.9527
8450,0.0957,0.9651
8500,0.1078,0.9609
8550,0.0995,0.9653
8600,0.0997,0.9654
8650,0.1022,0.9646
8700,0.0990,0.9656
8750,0.1012,0.9650
8800,0.1011,0.9652
8850,0.1037,0.9644
8900,0.1048,0.9636
8950,0.1065,0.9628
9000,0.1079,0.9628
9050,0.1071,0.9635
9100,0.1070,0.9638
9150,0.1065,0.9643
9200,0.1076,0.9640
9250,0.1085,0.9636
9300,0.1080,0.9637
9350,0.1094,0.9631
9400,0.1091,0.9632
9450,0.1092,0.9634
9500,0.1091,0.9634
9550,0.1098,0.9632
9600,0.1100,0.9630
9650,0.1101,0.9629
9700,0.1102,0.9627
9750,0.1107,0.9626
9800,0.1103,0.9627
9850,0.1110,0.9626
9900,0.1112,0.9625
9950,0.1111,0.9625
10000,0.1113,0.9625
10050,0.1119,0.9623
10100,0.1118,0.9623
10150,0.1117,0.9624
10200,0.1120,0.9622
10250,0.1124,0.9620
10300,0.1123,0.9620
10350,0.1120,0.9620
10400,0.1120,0.9620
10450,0.1119,0.9620
10500,0.1119,0.9620
10550,0.0739,0.9792
10600,0.0759,0.9750
10650,0.0745,0.9762
10700,0.0718,0.9769
10750,0.0751,0.9760
10800,0.0778,0.9746
10850,0.0787,0.9748
10900,0.0808,0.9742
10950,0.0805,0.9743
11000,0.0825,0.9736
11050,0.0821,0.9735
11100,0.0822,0.9735
11150,0.0828,0.9731
11200,0.0831,0.9728
11250,0.0831,0.9728
11300,0.0832,0.9729
11350,0.0833,0.9727
11400,0.0843,0.9722
11450,0.0845,0.9723
11500,0.0853,0.9722
11550,0.0857,0.9720
11600,0.0863,0.9718
11650,0.0867,0.9716
11700,0.0884,0.9711
11750,0.0881,0.9712
11800,0.0892,0.9709
11850,0.0889,0.9710
11900,0.0889,0.9709
11950,0.0894,0.9708
12000,0.0897,0.9706
12050,0.0896,0.9707
12100,0.0895,0.9707
12150,0.0896,0.9709
12200,0.0894,0.9709
12250,0.0894,0.9708
12300,0.0897,0.9706
12350,0.0898,0.9706
12400,0.0898,0.9705
12450,0.0895,0.9706
12500,0.0896,0.9705
12550,0.0900,0.9704
12600,0.0902,0.9703
12650,0.0488,0.9868
12700,0.0634,0.9811
12750,0.0669,0.9794
12800,0.0691,0.9789
12850,0.0735,0.9776
12900,0.0739,0.9770
12950,0.0728,0.9775
13000,0.0720,0.9777
13050,0.0718,0.9780
13100,0.0703,0.9786
13150,0.0701,0.9785
13200,0.0696,0.9787
13250,0.0707,0.9784
13300,0.0707,0.9785
13350,0.0704,0.9785
13400,0.0705,0.9785
13450,0.0703,0.9786
13500,0.0701,0.9788
13550,0.0689,0.9791
13600,0.0694,0.9789
13650,0.0694,0.9790
13700,0.0691,0.9790
13750,0.0697,0.9787
13800,0.0695,0.9788
13850,0.0701,0.9785
13900,0.0699,0.9786
13950,0.0702,0.9786
14000,0.0705,0.9785
14050,0.0704,0.9785
14100,0.0700,0.9786
14150,0.0701,0.9786
14200,0.0706,0.9785
14250,0.0705,0.9786
14300,0.0708,0.9786
14350,0.0706,0.9786
14400,0.0704,0.9787
14450,0.0705,0.9787
14500,0.0707,0.9785
14550,0.0709,0.9784
14600,0.0710,0.9783
14650,0.0710,0.9783
14700,0.0708,0.9784
14750,0.0453,0.9872
14800,0.0592,0.9839
14850,0.0575,0.9854
14900,0.0556,0.9853
14950,0.0584,0.9848
15000,0.0557,0.9852
15050,0.0549,0.9849
15100,0.0547,0.9847
15150,0.0555,0.9842
15200,0.0544,0.9846
15250,0.0548,0.9843
15300,0.0553,0.9842
15350,0.0547,0.9845
15400,0.0543,0.9846
15450,0.0546,0.9844
15500,0.0550,0.9842
15550,0.0558,0.9839
15600,0.0556,0.9840
15650,0.0556,0.9841
15700,0.0556,0.9839
15750,0.0565,0.9835
15800,0.0564,0.9836
15850,0.0564,0.9837
15900,0.0558,0.9838
15950,0.0563,0.9837
16000,0.0561,0.9837
16050,0.0560,0.9837
16100,0.0557,0.9839
16150,0.0554,0.9839
16200,0.0558,0.9838
16250,0.0560,0.9836
16300,0.0559,0.9836
16350,0.0561,0.9836
16400,0.0563,0.9835
16450,0.0560,0.9835
16500,0.0557,0.9836
16550,0.0559,0.9836
16600,0.0560,0.9836
16650,0.0561,0.9835
16700,0.0563,0.9835
16750,0.0561,0.9835
16800,0.0562,0.9835
