iteration,train_loss,train_accuracy
50,0.6990,0.4631
100,0.7002,0.4512
150,0.6999,0.4542
200,0.6991,0.4580
250,0.6964,0.4795
300,0.6914,0.4956
350,0.6768,0.5291
400,0.6443,0.5692
450,0.6136,0.6003
500,0.5882,0.6258
550,0.5658,0.6466
600,0.5462,0.6647
650,0.5270,0.6815
700,0.5122,0.6950
750,0.4980,0.7077
800,0.4866,0.7179
850,0.4749,0.7275
900,0.4638,0.7364
950,0.4534,0.7444
1000,0.4446,0.7516
1050,0.4372,0.7581
1100,0.4299,0.7640
1150,0.4238,0.7690
1200,0.4180,0.7737
1250,0.4124,0.7782
1300,0.4070,0.7823
1350,0.4016,0.7867
1400,0.3966,0.7904
1450,0.3921,0.7938
1500,0.3874,0.7974
1550,0.3836,0.8003
1600,0.3796,0.8033
1650,0.3755,0.8063
1700,0.3716,0.8092
1750,0.3677,0.8120
1800,0.3639,0.8144
1850,0.3603,0.8171
1900,0.3564,0.8199
1950,0.3532,0.8222
2000,0.3501,0.8245
2050,0.3468,0.8267
2100,0.3433,0.8290
2150,0.2037,0.9287
2200,0.2054,0.9261
2250,0.2102,0.9229
2300,0.2095,0.9222
2350,0.2062,0.9238
2400,0.2011,0.9261
2450,0.2001,0.9273
2500,0.2030,0.9261
2550,0.2024,0.9262
2600,0.2016,0.9266
2650,0.2017,0.9259
2700,0.2016,0.9258
2750,0.2004,0.9263
2800,0.2006,0.9262
2850,0.2003,0.9260
2900,0.1985,0.9268
2950,0.1980,0.9273
3000,0.1980,0.9272
3050,0.1974,0.9272
3100,0.1959,0.9279
3150,0.1950,0.9281
3200,0.1952,0.9279
3250,0.1949,0.9280
3300,0.1946,0.9283
3350,0.1932,0.9288
3400,0.1936,0.9285
3450,0.1936,0.9285
3500,0.1929,0.9288
3550,0.1925,0.9290
3600,0.1925,0.9290
3650,0.1923,0.9291
3700,0.1921,0.9290
3750,0.1918,0.9291
3800,0.1918,0.9290
3850,0.1915,0.9292
3900,0.1914,0.9293
3950,0.1911,0.9294
4000,0.1906,0.9296
4050,0.1904,0.9297
4100,0.1903,0.9298
4150,0.1901,0.9299
4200,0.1898,0.9301
4250,0.1212,0.9568
4300,0.1448,0.9518
4350,0.1471,0.9492
4400,0.1470,0.9486
4450,0.1484,0.9485
4500,0.1478,0.9493
4550,0.1447,0.9515
4600,0.1484,0.9501
4650,0.1481,0.9504
4700,0.1497,0.9491
4750,0.1491,0.9490
4800,0.1492,0.9486
4850,0.1503,0.9480
4900,0.1502,0.9480
4950,0.1503,0.9480
