iteration,train_loss,train_accuracy
50,0.6931,0.5012
100,0.6933,0.5038
150,0.6927,0.5142
200,0.6885,0.5377
250,0.6531,0.5906
300,0.6078,0.6326
350,0.5695,0.6649
400,0.5352,0.6918
450,0.5109,0.7117
500,0.4888,0.7295
550,0.4736,0.7423
600,0.4588,0.7538
650,0.4451,0.7640
700,0.4309,0.7740
750,0.4209,0.7815
800,0.4121,0.7880
850,0.4044,0.7938
900,0.3958,0.8001
950,0.3889,0.8049
1000,0.3834,0.8090
1050,0.3771,0.8134
1100,0.3717,0.8170
1150,0.3665,0.8208
1200,0.3626,0.8238
1250,0.3591,0.8265
1300,0.3548,0.8295
1350,0.3511,0.8322
1400,0.3476,0.8346
1450,0.3437,0.8370
1500,0.3405,0.8391
1550,0.3375,0.8412
1600,0.3347,0.8432
1650,0.3316,0.8451
1700,0.3286,0.8473
1750,0.3259,0.8491
1800,0.3233,0.8508
1850,0.3206,0.8526
1900,0.3184,0.8541
1950,0.3165,0.8554
2000,0.3144,0.8568
2050,0.3123,0.8581
2100,0.3100,0.8595
2150,0.2036,0.9266
2200,0.1905,0.9281
2250,0.1862,0.9298
2300,0.1864,0.9294
2350,0.1890,0.9289
2400,0.1903,0.9280
2450,0.1879,0.9303
2500,0.1873,0.9304
2550,0.1865,0.9302
2600,0.1871,0.9296
2650,0.1883,0.9291
2700,0.1903,0.9286
2750,0.1897,0.9289
2800,0.1893,0.9291
2850,0.1901,0.9284
2900,0.1894,0.9287
2950,0.1890,0.9290
3000,0.1892,0.9294
3050,0.1884,0.9297
3100,0.1879,0.9302
3150,0.1870,0.9308
3200,0.1859,0.9313
3250,0.1870,0.9310
3300,0.1867,0.9313
3350,0.1866,0.9313
3400,0.1862,0.9312
3450,0.1851,0.9316
3500,0.1851,0.9315
3550,0.1859,0.9312
3600,0.1854,0.9313
3650,0.1852,0.9315
3700,0.1850,0.9318
3750,0.1851,0.9318
3800,0.1847,0.9319
3850,0.1842,0.9322
3900,0.1839,0.9324
3950,0.1832,0.9329
4000,0.1835,0.9328
4050,0.1833,0.9328
4100,0.1830,0.9330
4150,0.1829,0.9331
4200,0.1829,0.9330
4250,0.1435,0.9457
4300,0.1308,0.9504
4350,0.1249,0.9560
4400,0.1248,0.9559
4450,0.1268,0.9543
4500,0.1272,0.9544
4550,0.1272,0.9550
4600,0.1288,0.9549
4650,0.1274,0.9555
4700,0.1293,0.9547
4750,0.1311,0.9542
4800,0.1331,0.9532
4850,0.1336,0.9529
4900,0.1340,0.9527
4950,0.1340,0.9525
5000,0.1346,0.9525
5050,0.1347,0.9523
5100,0.1354,0.9519
5150,0.1361,0.9515
5200,0.1370,0.9514
5250,0.1365,0.9518
5300,0.1369,0.9516
5350,0.1376,0.9513
5400,0.1379,0.9514
5450,0.1384,0.9513
5500,0.1384,0.9513
5550,0.1381,0.9516
5600,0.1383,0.9515
5650,0.1382,0.9517
5700,0.1388,0.9514
5750,0.1391,0.9512
5800,0.1392,0.9511
5850,0.1400,0.9509
5900,0.1402,0.9508
5950,0.1409,0.9503
6000,0.1410,0.9502
6050,0.1406,0.9504
6100,0.1407,0.9503
6150,0.1411,0.9501
6200,0.1408,0.9503
6250,0.1413,0.9501
6300,0.1417,0.9499
6350,0.1245,0.9572
6400,0.1111,0.9634
6450,0.1088,0.9651
6500,0.1111,0.9629
6550,0.1084,0.9643
6600,0.1044,0.9657
6650,0.1023,0.9666
6700,0.1018,0.9672
6750,0.1023,0.9669
6800,0.1026,0.9666
6850,0.1029,0.9665
6900,0.1043,0.9656
6950,0.1040,0.9657
7000,0.1046,0.9653
7050,0.1064,0.9646
7100,0.1083,0.9640
7150,0.1088,0.9637
7200,0.1091,0.9635
7250,0.1086,0.9638
7300,0.1087,0.9638
7350,0.1086,0.9637
7400,0.1082,0.9638
7450,0.1082,0.9639
7500,0.1084,0.9638
7550,0.1093,0.9635
7600,0.1089,0.9635
7650,0.1092,0.9634
7700,0.1095,0.9633
7750,0.1094,0.9633
7800,0.1098,0.9630
7850,0.1098,0.9630
7900,0.1104,0.9630
7950,0.1100,0.9633
8000,0.1110,0.9629
8050,0.1112,0.9629
8100,0.1116,0.9628
8150,0.1120,0.9626
8200,0.1121,0.9626
8250,0.1121,0.9627
8300,0.1130,0.9622
8350,0.1139,0.9619
8400,0.1142,0.9618
8450,0.0771,0.9761
8500,0.0815,0.9743
8550,0.0888,0.9720
8600,0.0886,0.9716
8650,0.0907,0.9714
8700,0.0912,0.9710
8750,0.0932,0.9700
8800,0.0923,0.9705
8850,0.0924,0.9704
8900,0.0923,0.9705
8950,0.0912,0.9711
9000,0.0909,0.9713
9050,0.0911,0.9714
9100,0.0910,0.9714
9150,0.0926,0.9708
9200,0.0919,0.9710
9250,0.0917,0.9710
9300,0.0907,0.9713
9350,0.0896,0.9716
9400,0.0903,0.9713
9450,0.0904,0.9713
9500,0.0904,0.9710
9550,0.0909,0.9709
9600,0.0910,0.9708
9650,0.0915,0.9706
9700,0.0915,0.9706
9750,0.0918,0.9706
9800,0.0917,0.9706
9850,0.0921,0.9705
9900,0.0920,0.9706
9950,0.0920,0.9705
10000,0.0922,0.9704
10050,0.0926,0.9703
10100,0.0926,0.9703
10150,0.0924,0.9705
10200,0.0925,0.9704
10250,0.0927,0.9704
10300,0.0928,0.9703
10350,0.0931,0.9701
10400,0.0932,0.9700
10450,0.0936,0.9699
10500,0.0934,0.9699
10550,0.0732,0.9750
10600,0.0756,0.9746
10650,0.0753,0.9743
10700,0.0735,0.9757
10750,0.0725,0.9760
10800,0.0741,0.9753
10850,0.0736,0.9754
10900,0.0733,0.9755
10950,0.0734,0.9760
11000,0.0733,0.9763
11050,0.0734,0.9763
11100,0.0737,0.9762
11150,0.0737,0.9766
11200,0.0740,0.9766
11250,0.0738,0.9765
11300,0.0745,0.9762
11350,0.0750,0.9761
11400,0.0754,0.9760
11450,0.0759,0.9760
11500,0.0757,0.9761
11550,0.0746,0.9765
11600,0.0748,0.9762
11650,0.0754,0.9760
11700,0.0753,0.9761
11750,0.0751,0.9762
11800,0.0745,0.9765
11850,0.0749,0.9764
11900,0.0752,0.9764
11950,0.0747,0.9766
12000,0.0749,0.9765
12050,0.0752,0.9765
12100,0.0756,0.9763
12150,0.0758,0.9763
12200,0.0758,0.9763
12250,0.0757,0.9763
12300,0.0753,0.9763
