iteration,train_loss,train_accuracy
50,0.6920,0.5125
100,0.6906,0.5375
150,0.6860,0.5535
200,0.6477,0.6030
250,0.5920,0.6512
300,0.5525,0.6854
350,0.5214,0.7117
400,0.4972,0.7299
450,0.4748,0.7460
500,0.4574,0.7591
550,0.4404,0.7712
600,0.4268,0.7811
650,0.4141,0.7902
700,0.4028,0.7983
750,0.3931,0.8048
800,0.3854,0.8101
850,0.3761,0.8164
900,0.3702,0.8210
950,0.3646,0.8250
1000,0.3599,0.8285
1050,0.3558,0.8312
1100,0.3507,0.8346
1150,0.3472,0.8371
1200,0.3443,0.8391
1250,0.3411,0.8418
1300,0.3387,0.8436
1350,0.3367,0.8450
1400,0.3346,0.8464
1450,0.3326,0.8480
1500,0.3304,0.8496
1550,0.3277,0.8511
1600,0.3255,0.8526
1650,0.3238,0.8536
1700,0.3217,0.8548
1750,0.3200,0.8557
1800,0.3184,0.8568
1850,0.3171,0.8577
1900,0.3156,0.8586
1950,0.3144,0.8596
2000,0.3127,0.8606
2050,0.3114,0.8616
2100,0.3100,0.8624
2150,0.2256,0.9158
2200,0.2309,0.9095
2250,0.2261,0.9110
2300,0.2212,0.9134
2350,0.2277,0.9110
2400,0.2325,0.9092
2450,0.2337,0.9080
2500,0.2299,0.9097
2550,0.2275,0.9112
2600,0.2269,0.9116
2650,0.2266,0.9117
2700,0.2231,0.9129
2750,0.2233,0.9129
2800,0.2249,0.9117
2850,0.2244,0.9122
2900,0.2260,0.9114
2950,0.2241,0.9121
3000,0.2237,0.9122
3050,0.2241,0.9122
3100,0.2249,0.9119
3150,0.2257,0.9117
3200,0.2259,0.9115
3250,0.2259,0.9116
3300,0.2275,0.9109
3350,0.2280,0.9106
3400,0.2277,0.9104
3450,0.2275,0.9105
3500,0.2268,0.9109
3550,0.2262,0.9113
3600,0.2266,0.9110
3650,0.2258,0.9115
3700,0.2251,0.9120
3750,0.2249,0.9121
3800,0.2248,0.9121
3850,0.2241,0.9124
3900,0.2249,0.9120
3950,0.2249,0.9121
4000,0.2244,0.9122
4050,0.2242,0.9123
4100,0.2245,0.9120
4150,0.2243,0.9123
4200,0.2247,0.9121
4250,0.2169,0.9152
4300,0.2156,0.9141
4350,0.2005,0.9214
4400,0.1974,0.9230
4450,0.1974,0.9238
4500,0.1944,0.9247
4550,0.1952,0.9236
4600,0.1960,0.9229
4650,0.1958,0.9226
4700,0.1983,0.9213
4750,0.1997,0.9208
4800,0.2001,0.9208
4850,0.2003,0.9214
4900,0.2026,0.9205
4950,0.2034,0.9201
5000,0.2035,0.9201
5050,0.2044,0.9201
5100,0.2040,0.9207
5150,0.2037,0.9209
5200,0.2029,0.9211
5250,0.2042,0.9204
