iteration,train_loss,train_accuracy
5950,0.3347,0.8560
6000,0.3352,0.8559
6050,0.3348,0.8559
6100,0.3351,0.8557
6150,0.3350,0.8559
6200,0.3355,0.8555
6250,0.3355,0.8554
6300,0.3355,0.8551
6350,0.3262,0.8561
50,0.7104,0.4406
6400,0.3232,0.8590
6450,0.3260,0.8578
100,0.7091,0.4334
6500,0.3155,0.8620
150,0.6933,0.4840
200,0.6477,0.5558
6550,0.3138,0.8648
250,0.5879,0.6160
6600,0.3176,0.8647
300,0.5524,0.6532
6650,0.3189,0.8634
350,0.5176,0.6840
6700,0.3220,0.8622
400,0.4901,0.7091
6750,0.3245,0.8602
450,0.4671,0.7285
6800,0.3252,0.8601
500,0.4499,0.7438
6850,0.3246,0.8602
550,0.4327,0.7572
6900,0.3233,0.8607
600,0.4216,0.7667
6950,0.3235,0.8598
650,0.4111,0.7754
7000,0.3237,0.8600
700,0.4020,0.7831
7050,0.3232,0.8607
750,0.3939,0.7899
7100,0.3240,0.8603
800,0.3857,0.7961
7150,0.3239,0.8603
850,0.3810,0.8013
7200,0.3245,0.8604
900,0.3750,0.8059
7250,0.3242,0.8603
950,0.3689,0.8107
7300,0.3247,0.8598
1000,0.3637,0.8149
7350,0.3253,0.8596
1050,0.3598,0.8183
7400,0.3250,0.8599
1100,0.3565,0.8214
7450,0.3248,0.8600
1150,0.3537,0.8239
1200,0.3509,0.8265
7500,0.3245,0.8603
7550,0.3247,0.8602
1250,0.3486,0.8285
1300,0.3489,0.8290
7600,0.3241,0.8605
7650,0.3245,0.8603
1350,0.3485,0.8301
1400,0.3474,0.8314
7700,0.3245,0.8601
1450,0.3473,0.8319
7750,0.3238,0.8608
7800,0.3241,0.8610
1500,0.3479,0.8321
1550,0.3477,0.8328
7850,0.3240,0.8611
1600,0.3477,0.8333
7900,0.3237,0.8614
7950,0.3235,0.8614
1650,0.3485,0.8334
8000,0.3235,0.8612
1700,0.3489,0.8334
8050,0.3236,0.8610
1750,0.3493,0.8337
8100,0.3235,0.8612
1800,0.3500,0.8338
8150,0.3237,0.8611
1850,0.3499,0.8345
1900,0.3504,0.8347
8200,0.3228,0.8616
1950,0.3511,0.8346
8250,0.3226,0.8617
8300,0.3229,0.8615
2000,0.3514,0.8348
8350,0.3229,0.8615
2050,0.3521,0.8346
8400,0.3221,0.8617
2100,0.3534,0.8342
8450,0.2855,0.8842
2150,0.3563,0.8458
2200,0.3539,0.8467
8500,0.2842,0.8876
2250,0.3620,0.8440
8550,0.3030,0.8759
2300,0.3673,0.8394
8600,0.3013,0.8769
2350,0.3618,0.8438
8650,0.2983,0.8746
2400,0.3583,0.8448
8700,0.2989,0.8743
8750,0.2985,0.8737
2450,0.3583,0.8441
2500,0.3594,0.8424
8800,0.3019,0.8714
2550,0.3581,0.8421
8850,0.3022,0.8716
2600,0.3563,0.8424
8900,0.3013,0.8719
8950,0.3031,0.8711
2650,0.3551,0.8435
2700,0.3569,0.8427
9000,0.3066,0.8695
9050,0.3063,0.8696
2750,0.3581,0.8421
2800,0.3595,0.8423
9100,0.3072,0.8692
9150,0.3067,0.8693
2850,0.3607,0.8417
2900,0.3612,0.8411
9200,0.3055,0.8702
9250,0.3072,0.8696
2950,0.3611,0.8419
3000,0.3619,0.8412
9300,0.3062,0.8699
9350,0.3061,0.8703
3050,0.3621,0.8419
9400,0.3059,0.8701
