iteration,train_loss,train_accuracy
50,0.6920,0.5169
100,0.6923,0.5300
150,0.6908,0.5408
200,0.6892,0.5425
250,0.6699,0.5747
300,0.6251,0.6203
350,0.5845,0.6544
400,0.5510,0.6820
450,0.5256,0.7030
500,0.5055,0.7194
550,0.4893,0.7322
600,0.4730,0.7447
650,0.4623,0.7540
700,0.4494,0.7634
750,0.4380,0.7716
800,0.4272,0.7794
850,0.4200,0.7847
900,0.4122,0.7903
950,0.4044,0.7959
1000,0.3980,0.8004
1050,0.3917,0.8048
1100,0.3859,0.8090
1150,0.3803,0.8127
1200,0.3741,0.8167
1250,0.3687,0.8203
1300,0.3633,0.8240
1350,0.3586,0.8272
1400,0.3539,0.8301
1450,0.3494,0.8331
1500,0.3457,0.8355
1550,0.3423,0.8377
1600,0.3386,0.8400
1650,0.3352,0.8423
1700,0.3311,0.8447
1750,0.3278,0.8469
1800,0.3247,0.8486
1850,0.3223,0.8502
1900,0.3196,0.8521
1950,0.3177,0.8535
2000,0.3152,0.8551
2050,0.3126,0.8567
2100,0.3096,0.8585
2150,0.1542,0.9470
2200,0.1775,0.9359
2250,0.1832,0.9349
2300,0.1829,0.9361
2350,0.1807,0.9365
2400,0.1765,0.9370
2450,0.1763,0.9367
2500,0.1739,0.9377
2550,0.1722,0.9385
2600,0.1710,0.9390
2650,0.1710,0.9386
2700,0.1719,0.9382
2750,0.1717,0.9382
2800,0.1728,0.9375
2850,0.1727,0.9374
2900,0.1734,0.9370
2950,0.1725,0.9370
3000,0.1735,0.9370
3050,0.1735,0.9371
3100,0.1737,0.9370
3150,0.1731,0.9374
3200,0.1728,0.9375
3250,0.1736,0.9370
3300,0.1740,0.9369
3350,0.1741,0.9367
3400,0.1734,0.9370
3450,0.1734,0.9370
3500,0.1735,0.9370
3550,0.1737,0.9369
3600,0.1750,0.9364
3650,0.1745,0.9367
3700,0.1745,0.9366
3750,0.1746,0.9366
3800,0.1736,0.9372
3850,0.1728,0.9375
3900,0.1731,0.9375
3950,0.1733,0.9375
4000,0.1731,0.9376
4050,0.1729,0.9377
4100,0.1726,0.9378
4150,0.1721,0.9379
4200,0.1719,0.9379
4250,0.1307,0.9613
4300,0.1339,0.9575
4350,0.1279,0.9580
4400,0.1302,0.9565
4450,0.1288,0.9569
4500,0.1303,0.9564
4550,0.1307,0.9560
4600,0.1280,0.9571
4650,0.1289,0.9572
4700,0.1307,0.9568
4750,0.1307,0.9563
4800,0.1302,0.9565
4850,0.1304,0.9563
4900,0.1314,0.9557
4950,0.1330,0.9549
5000,0.1329,0.9552
5050,0.1333,0.9549
5100,0.1329,0.9552
5150,0.1328,0.9551
5200,0.1325,0.9552
5250,0.1326,0.9554
5300,0.1334,0.9551
5350,0.1323,0.9555
5400,0.1324,0.9555
5450,0.1319,0.9557
5500,0.1323,0.9555
5550,0.1318,0.9556
5600,0.1319,0.9555
5650,0.1320,0.9554
5700,0.1323,0.9553
5750,0.1317,0.9555
5800,0.1312,0.9557
5850,0.1314,0.9556
5900,0.1313,0.9555
5950,0.1315,0.9556
6000,0.1315,0.9555
6050,0.1314,0.9557
6100,0.1317,0.9555
6150,0.1313,0.9556
6200,0.1312,0.9555
6250,0.1314,0.9555
6300,0.1309,0.9557
6350,0.0958,0.9696
6400,0.0902,0.9719
6450,0.0989,0.9692
6500,0.0993,0.9694
6550,0.1025,0.9681
6600,0.1023,0.9680
