lr,lora_r,lora_alpha,weight_decay,max_steps,eval_every,sft_preset,sft_val_ratio,lora_type,best_eval_perplexity,best_eval_loss,best_iteration,last_eval_perplexity,last_eval_loss,last_iteration,post_peak_last_over_best,post_peak_tail_mean_over_best,metrics_dir,status
0.0010673398,64,32.0,0.01,500,100,alpaca_train_1k,0.2,default,4.276495,1.453134,200,36264.780404,10.498602,500,8480.024039312568,6369.288208061352,deepseek_autogrid/results_correlation_refine/lr_1p0673e-03_r64_a32_st500_wd_1p0000e-02,ok
0.0013158664,64,16.0,0.01,500,100,alpaca_train_1k,0.2,default,4.279266,1.453782,300,4.439416,1.490523,500,1.0374246424503641,1.0281693168875226,deepseek_autogrid/results_correlation_refine/lr_1p3159e-03_r64_a16_st500_wd_1p0000e-02,ok
0.0002,64,16.0,0.01,500,100,alpaca_train_1k,0.2,default,4.279934,1.453938,500,4.279934,1.453938,500,1.0,1.0,deepseek_autogrid/results_correlation_refine/lr_2p0000e-04_r64_a16_st500_wd_1p0000e-02,ok
0.0003039822,64,16.0,0.01,500,100,alpaca_train_1k,0.2,default,4.333255,1.466319,300,6.428512,1.860743,500,1.4835295868809935,1.4305050129752346,deepseek_autogrid/results_correlation_refine/lr_3p0398e-04_r64_a16_st500_wd_1p0000e-02,ok
0.0005696072,64,16.0,0.01,500,100,alpaca_train_1k,0.2,default,4.336725,1.467119,100,23.146585,3.141847,500,5.337342118764736,6.376045229983455,deepseek_autogrid/results_correlation_refine/lr_5p6961e-04_r64_a16_st500_wd_1p0000e-02,ok
0.002,64,16.0,0.01,500,100,alpaca_train_1k,0.2,default,4.344625,1.468939,100,703592.172245,13.463954,300,161945.43194061628,128946.57253953368,deepseek_autogrid/results_correlation_refine/lr_2p0000e-03_r64_a16_st500_wd_1p0000e-02,ok
0.0007022383,64,16.0,0.01,500,100,alpaca_train_1k,0.2,default,4.390642,1.479475,100,102.021141,4.62518,500,23.236041790699403,130.9963965406426,deepseek_autogrid/results_correlation_refine/lr_7p0224e-04_r64_a16_st500_wd_1p0000e-02,ok
0.0010673398,64,16.0,0.01,500,100,alpaca_train_1k,0.2,default,4.448925,1.492662,500,4.448925,1.492662,500,1.0,1.0,deepseek_autogrid/results_correlation_refine/lr_1p0673e-03_r64_a16_st500_wd_1p0000e-02,ok
0.0008657523,32,32.0,0.01,500,100,alpaca_train_1k,0.2,default,4.479221,1.499449,100,845.931102,6.740438,500,188.8567458493341,14556.579293586989,deepseek_autogrid/results_correlation_refine/lr_8p6575e-04_r32_a32_st500_wd_1p0000e-02,ok
0.0002,32,16.0,0.01,500,100,alpaca_train_1k,0.2,default,4.529584,1.51063,500,4.529584,1.51063,500,1.0,1.0,deepseek_autogrid/results_correlation_refine/lr_2p0000e-04_r32_a16_st500_wd_1p0000e-02,ok
0.0002465693,64,16.0,0.01,500,100,alpaca_train_1k,0.2,default,4.600196,1.526099,100,12.518837,2.527235,500,2.7213703503068127,1.8552784490052159,deepseek_autogrid/results_correlation_refine/lr_2p4657e-04_r64_a16_st500_wd_1p0000e-02,ok
0.0005696072,64,32.0,0.01,500,100,alpaca_train_1k,0.2,default,4.699186,1.547389,100,8.93558,2.190041,500,1.901516560527717,3.8452226087667096,deepseek_autogrid/results_correlation_refine/lr_5p6961e-04_r64_a32_st500_wd_1p0000e-02,ok
0.0013158664,32,32.0,0.01,500,100,alpaca_train_1k,0.2,default,4.718088,1.551404,200,670896.375043,13.41637,500,142196.66420867946,111984.66901076594,deepseek_autogrid/results_correlation_refine/lr_1p3159e-03_r32_a32_st500_wd_1p0000e-02,ok
0.0008657523,32,16.0,0.01,500,100,alpaca_train_1k,0.2,default,4.725273,1.552925,400,9.552862,2.256841,500,2.0216529288360694,2.0216529288360694,deepseek_autogrid/results_correlation_refine/lr_8p6575e-04_r32_a16_st500_wd_1p0000e-02,ok
0.0008657523,64,16.0,0.01,500,100,alpaca_train_1k,0.2,default,4.770381,1.562426,100,84.083072,4.431805,500,17.62607053818133,46.111277222930404,deepseek_autogrid/results_correlation_refine/lr_8p6575e-04_r64_a16_st500_wd_1p0000e-02,ok
0.0008657523,64,32.0,0.01,500,100,alpaca_train_1k,0.2,default,4.859559,1.580948,100,1940.271913,7.570583,500,399.2691338864288,304.63826511829575,deepseek_autogrid/results_correlation_refine/lr_8p6575e-04_r64_a32_st500_wd_1p0000e-02,ok
0.0002,32,32.0,0.01,500,100,alpaca_train_1k,0.2,default,4.862821,1.581619,100,7.148025,1.966836,500,1.469933810025086,1.934837103812787,deepseek_autogrid/results_correlation_refine/lr_2p0000e-04_r32_a32_st500_wd_1p0000e-02,ok
0.0002465693,32,16.0,0.01,500,100,alpaca_train_1k,0.2,default,4.901238,1.589488,100,8.042481,2.084738,500,1.6409080726134908,1.5701342191503453,deepseek_autogrid/results_correlation_refine/lr_2p4657e-04_r32_a16_st500_wd_1p0000e-02,ok
0.0005696072,32,16.0,0.01,500,100,alpaca_train_1k,0.2,default,4.919615,1.59323,200,6.421265,1.859615,500,1.305237300073278,3.0433715510935984,deepseek_autogrid/results_correlation_refine/lr_5p6961e-04_r32_a16_st500_wd_1p0000e-02,ok
0.0004620259,32,32.0,0.01,500,100,alpaca_train_1k,0.2,default,4.927074,1.594745,100,18.887996,2.938527,500,3.833511735362611,424.9090872189052,deepseek_autogrid/results_correlation_refine/lr_4p6203e-04_r32_a32_st500_wd_1p0000e-02,ok
0.0002465693,32,32.0,0.01,500,100,alpaca_train_1k,0.2,default,5.030634,1.615546,200,6.588547,1.885333,500,1.3096852205904863,1.1970455413770908,deepseek_autogrid/results_correlation_refine/lr_2p4657e-04_r32_a32_st500_wd_1p0000e-02,ok
0.002,32,16.0,0.01,500,100,alpaca_train_1k,0.2,default,5.418242,1.689771,100,17039.107016,9.743266,500,3144.7667003430265,1393.4186900935765,deepseek_autogrid/results_correlation_refine/lr_2p0000e-03_r32_a16_st500_wd_1p0000e-02,ok
0.0013158664,32,16.0,0.01,500,100,alpaca_train_1k,0.2,default,6.919524,1.934347,300,13.104429,2.57295,500,1.8938338822150194,1.962234974544492,deepseek_autogrid/results_correlation_refine/lr_1p3159e-03_r32_a16_st500_wd_1p0000e-02,ok
0.0004620259,64,32.0,0.01,500,100,alpaca_train_1k,0.2,default,7.646393,2.034234,100,176.695398,5.174427,500,23.10833330172802,36.65777739909523,deepseek_autogrid/results_correlation_refine/lr_4p6203e-04_r64_a32_st500_wd_1p0000e-02,ok
0.0007022383,32,16.0,0.01,500,100,alpaca_train_1k,0.2,default,9.788618,2.28122,300,1527.633922,7.331475,500,156.0622676255218,143.24151744403554,deepseek_autogrid/results_correlation_refine/lr_7p0224e-04_r32_a16_st500_wd_1p0000e-02,ok
