lr,lora_r,lora_alpha,epochs,weight_decay,adam_beta1,adam_beta2,best_val_acc,best_val_loss,best_iteration,last_val_acc,last_val_loss,last_iteration,metrics_dir,status
0.0003,128,128.0,3,0.01,0.9,0.999,0.9037,0.2944,4208,0.8945,0.3209,6312,distilbert_autogrid/results/lr_3p0000e-04_r128_a128_ep3_wd_1p0000e-02,ok
0.0003,32,16.0,3,0.01,0.9,0.999,0.9037,0.2538,2104,0.9037,0.2763,6312,distilbert_autogrid/results/lr_3p0000e-04_r32_a16_ep3_wd_1p0000e-02,ok
0.0003,32,8.0,3,0.0,0.9,0.999,0.9037,0.2637,6312,0.9037,0.2637,6312,distilbert_autogrid/results/lr_3p0000e-04_r32_a8_ep3_wd_0p0000e00,ok
0.0003,64,16.0,3,0.1,0.9,0.999,0.9037,0.2533,2104,0.9025,0.2781,6312,distilbert_autogrid/results/lr_3p0000e-04_r64_a16_ep3_wd_1p0000e-01,ok
0.0003,8,16.0,3,0.01,0.9,0.999,0.9037,0.2826,6312,0.9037,0.2826,6312,distilbert_autogrid/results/lr_3p0000e-04_r8_a16_ep3_wd_1p0000e-02,ok
3e-05,16,128.0,3,0.0,0.9,0.999,0.9037,0.2608,4208,0.9025,0.2585,6312,distilbert_autogrid/results/lr_3p0000e-05_r16_a128_ep3_wd_0p0000e00,ok
3e-05,16,128.0,3,0.01,0.9,0.999,0.9037,0.2587,4208,0.9037,0.2569,6312,distilbert_autogrid/results/lr_3p0000e-05_r16_a128_ep3_wd_1p0000e-02,ok
3e-05,32,128.0,3,0.0,0.9,0.999,0.9037,0.2532,4208,0.9025,0.2544,6312,distilbert_autogrid/results/lr_3p0000e-05_r32_a128_ep3_wd_0p0000e00,ok
3e-05,64,128.0,3,0.0,0.9,0.999,0.9037,0.2587,6312,0.9037,0.2587,6312,distilbert_autogrid/results/lr_3p0000e-05_r64_a128_ep3_wd_0p0000e00,ok
3e-05,8,128.0,3,0.0,0.9,0.999,0.9037,0.2645,4208,0.9014,0.2632,6312,distilbert_autogrid/results/lr_3p0000e-05_r8_a128_ep3_wd_0p0000e00,ok
0.0003,128,64.0,3,0.1,0.9,0.999,0.9025,0.2948,6312,0.9025,0.2948,6312,distilbert_autogrid/results/lr_3p0000e-04_r128_a64_ep3_wd_1p0000e-01,ok
0.0003,16,128.0,3,0.1,0.9,0.999,0.9025,0.3083,6312,0.9025,0.3083,6312,distilbert_autogrid/results/lr_3p0000e-04_r16_a128_ep3_wd_1p0000e-01,ok
0.0003,16,128.0,3,0.01,0.9,0.999,0.9025,0.2787,4208,0.8979,0.3137,6312,distilbert_autogrid/results/lr_3p0000e-04_r16_a128_ep3_wd_1p0000e-02,ok
0.0003,16,16.0,3,0.1,0.9,0.999,0.9025,0.2705,6312,0.9025,0.2705,6312,distilbert_autogrid/results/lr_3p0000e-04_r16_a16_ep3_wd_1p0000e-01,ok
0.0003,32,128.0,3,0.01,0.9,0.999,0.9025,0.2965,6312,0.9025,0.2965,6312,distilbert_autogrid/results/lr_3p0000e-04_r32_a128_ep3_wd_1p0000e-02,ok
0.0003,32,64.0,3,0.01,0.9,0.999,0.9025,0.2657,4208,0.8945,0.3081,6312,distilbert_autogrid/results/lr_3p0000e-04_r32_a64_ep3_wd_1p0000e-02,ok
0.0003,32,8.0,3,0.1,0.9,0.999,0.9025,0.2573,2104,0.8945,0.2787,6312,distilbert_autogrid/results/lr_3p0000e-04_r32_a8_ep3_wd_1p0000e-01,ok
