lr,lora_r,lora_alpha,epochs,weight_decay,adam_beta1,adam_beta2,best_val_acc,best_val_loss,best_iteration,last_val_acc,last_val_loss,last_iteration,metrics_dir,status
0.003,64,32.0,3,0.1,0.9,0.999,0.9037,0.2696,6312,0.9037,0.2696,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r64_a32_ep3_wd_1p0000e-01,ok
0.003,8,128.0,3,0.1,0.9,0.999,0.9037,0.2819,6312,0.9037,0.2819,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r8_a128_ep3_wd_1p0000e-01,ok
0.0003,32,128.0,3,0.01,0.9,0.999,0.9037,0.2582,6312,0.9037,0.2582,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r32_a128_ep3_wd_1p0000e-02,ok
0.003,128,8.0,3,0.01,0.9,0.999,0.9025,0.2657,4208,0.8979,0.2825,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r128_a8_ep3_wd_1p0000e-02,ok
0.003,16,16.0,3,0.0,0.9,0.999,0.9025,0.2519,2104,0.8991,0.2797,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r16_a16_ep3_wd_0p0000e00,ok
0.003,16,64.0,3,0.1,0.9,0.999,0.9025,0.2754,4208,0.9014,0.2814,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r16_a64_ep3_wd_1p0000e-01,ok
0.003,32,128.0,3,0.1,0.9,0.999,0.9025,0.2794,6312,0.9025,0.2794,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r32_a128_ep3_wd_1p0000e-01,ok
0.003,64,8.0,3,0.01,0.9,0.999,0.9025,0.2659,6312,0.9025,0.2659,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r64_a8_ep3_wd_1p0000e-02,ok
0.003,16,8.0,3,0.0,0.9,0.999,0.9014,0.2775,6312,0.9014,0.2775,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r16_a8_ep3_wd_0p0000e00,ok
0.003,32,32.0,3,0.1,0.9,0.999,0.9014,0.2593,4208,0.8956,0.2702,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r32_a32_ep3_wd_1p0000e-01,ok
0.003,64,128.0,3,0.1,0.9,0.999,0.9014,0.2794,6312,0.9014,0.2794,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r64_a128_ep3_wd_1p0000e-01,ok
0.003,8,16.0,3,0.01,0.9,0.999,0.9014,0.2712,4208,0.9014,0.2944,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r8_a16_ep3_wd_1p0000e-02,ok
0.003,8,32.0,3,0.1,0.9,0.999,0.9014,0.2695,6312,0.9014,0.2695,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r8_a32_ep3_wd_1p0000e-01,ok
0.003,8,32.0,3,0.01,0.9,0.999,0.9014,0.2772,4208,0.8991,0.2968,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r8_a32_ep3_wd_1p0000e-02,ok
0.0003,128,128.0,3,0.01,0.9,0.999,0.9014,0.2594,6312,0.9014,0.2594,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r128_a128_ep3_wd_1p0000e-02,ok
0.0003,64,128.0,3,0.1,0.9,0.999,0.9014,0.2587,6312,0.9014,0.2587,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r64_a128_ep3_wd_1p0000e-01,ok
0.0003,8,128.0,3,0.1,0.9,0.999,0.9014,0.2534,6312,0.9014,0.2534,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r8_a128_ep3_wd_1p0000e-01,ok
0.0003,8,128.0,3,0.01,0.9,0.999,0.9014,0.2578,6312,0.9014,0.2578,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r8_a128_ep3_wd_1p0000e-02,ok
0.003,32,8.0,3,0.1,0.9,0.999,0.9002,0.2585,2104,0.8991,0.2617,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r32_a8_ep3_wd_1p0000e-01,ok
0.003,8,64.0,3,0.0,0.9,0.999,0.9002,0.2721,2104,0.8991,0.2794,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r8_a64_ep3_wd_0p0000e00,ok
0.003,8,64.0,3,0.1,0.9,0.999,0.9002,0.2713,4208,0.8979,0.276,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r8_a64_ep3_wd_1p0000e-01,ok
0.0003,32,128.0,3,0.0,0.9,0.999,0.9002,0.2573,6312,0.9002,0.2573,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r32_a128_ep3_wd_0p0000e00,ok
0.0003,32,64.0,3,0.01,0.9,0.999,0.9002,0.2565,6312,0.9002,0.2565,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r32_a64_ep3_wd_1p0000e-02,ok
0.003,128,128.0,3,0.01,0.9,0.999,0.8991,0.2647,4208,0.8979,0.2767,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r128_a128_ep3_wd_1p0000e-02,ok
0.003,128,32.0,3,0.01,0.9,0.999,0.8991,0.2934,6312,0.8991,0.2934,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r128_a32_ep3_wd_1p0000e-02,ok
0.003,32,16.0,3,0.1,0.9,0.999,0.8991,0.2725,6312,0.8991,0.2725,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r32_a16_ep3_wd_1p0000e-01,ok
0.003,32,32.0,3,0.0,0.9,0.999,0.8991,0.2864,6312,0.8991,0.2864,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r32_a32_ep3_wd_0p0000e00,ok
0.003,64,8.0,3,0.1,0.9,0.999,0.8991,0.2585,6312,0.8991,0.2585,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r64_a8_ep3_wd_1p0000e-01,ok
0.003,8,128.0,3,0.0,0.9,0.999,0.8991,0.2906,6312,0.8991,0.2906,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r8_a128_ep3_wd_0p0000e00,ok
0.003,8,16.0,3,0.0,0.9,0.999,0.8991,0.2491,2104,0.8979,0.278,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r8_a16_ep3_wd_0p0000e00,ok
0.003,8,8.0,3,0.01,0.9,0.999,0.8991,0.2668,4208,0.8956,0.2721,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r8_a8_ep3_wd_1p0000e-02,ok
0.003,128,16.0,3,0.0,0.9,0.999,0.8979,0.2747,2104,0.8933,0.2971,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r128_a16_ep3_wd_0p0000e00,ok
0.003,128,32.0,3,0.0,0.9,0.999,0.8979,0.275,2104,0.8956,0.2945,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r128_a32_ep3_wd_0p0000e00,ok
0.003,16,32.0,3,0.0,0.9,0.999,0.8979,0.2728,4208,0.8968,0.2953,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r16_a32_ep3_wd_0p0000e00,ok
0.003,8,16.0,3,0.1,0.9,0.999,0.8979,0.2507,4208,0.8979,0.2644,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r8_a16_ep3_wd_1p0000e-01,ok
0.0003,128,64.0,3,0.0,0.9,0.999,0.8979,0.262,6312,0.8979,0.262,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r128_a64_ep3_wd_0p0000e00,ok
0.0003,16,128.0,3,0.0,0.9,0.999,0.8979,0.2639,4208,0.8979,0.2591,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r16_a128_ep3_wd_0p0000e00,ok
0.0003,16,128.0,3,0.1,0.9,0.999,0.8979,0.2562,4208,0.8968,0.2593,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r16_a128_ep3_wd_1p0000e-01,ok
0.0003,32,128.0,3,0.1,0.9,0.999,0.8979,0.2627,6312,0.8979,0.2627,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r32_a128_ep3_wd_1p0000e-01,ok
0.0003,32,64.0,3,0.0,0.9,0.999,0.8979,0.2653,4208,0.8979,0.2644,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r32_a64_ep3_wd_0p0000e00,ok
0.003,16,128.0,3,0.01,0.9,0.999,0.8968,0.3074,6312,0.8968,0.3074,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r16_a128_ep3_wd_1p0000e-02,ok
0.003,16,16.0,3,0.1,0.9,0.999,0.8968,0.2639,4208,0.8933,0.2742,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r16_a16_ep3_wd_1p0000e-01,ok
0.003,16,64.0,3,0.01,0.9,0.999,0.8968,0.2909,6312,0.8968,0.2909,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r16_a64_ep3_wd_1p0000e-02,ok
0.003,16,8.0,3,0.1,0.9,0.999,0.8968,0.2604,6312,0.8968,0.2604,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r16_a8_ep3_wd_1p0000e-01,ok
0.003,32,16.0,3,0.0,0.9,0.999,0.8968,0.288,6312,0.8968,0.288,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r32_a16_ep3_wd_0p0000e00,ok
0.003,32,32.0,3,0.01,0.9,0.999,0.8968,0.2829,6312,0.8968,0.2829,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r32_a32_ep3_wd_1p0000e-02,ok
0.003,8,64.0,3,0.01,0.9,0.999,0.8968,0.2851,6312,0.8968,0.2851,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r8_a64_ep3_wd_1p0000e-02,ok
0.003,8,8.0,3,0.0,0.9,0.999,0.8968,0.2653,6312,0.8968,0.2653,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r8_a8_ep3_wd_0p0000e00,ok
0.0003,128,64.0,3,0.1,0.9,0.999,0.8968,0.2652,6312,0.8968,0.2652,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r128_a64_ep3_wd_1p0000e-01,ok
0.0003,16,64.0,3,0.01,0.9,0.999,0.8968,0.2656,6312,0.8968,0.2656,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r16_a64_ep3_wd_1p0000e-02,ok
0.003,128,64.0,3,0.01,0.9,0.999,0.8956,0.2833,4208,0.8888,0.2933,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r128_a64_ep3_wd_1p0000e-02,ok
0.003,16,128.0,3,0.0,0.9,0.999,0.8956,0.2979,6312,0.8956,0.2979,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r16_a128_ep3_wd_0p0000e00,ok
