iteration,train_loss,train_accuracy
50,0.7072,0.4487
100,0.7071,0.4437
150,0.7025,0.4650
200,0.6924,0.4927
250,0.6598,0.5465
300,0.6172,0.5941
350,0.5789,0.6308
400,0.5492,0.6592
450,0.5252,0.6824
500,0.5041,0.7011
550,0.4850,0.7176
600,0.4670,0.7319
650,0.4530,0.7435
700,0.4386,0.7544
750,0.4284,0.7625
800,0.4194,0.7703
850,0.4099,0.7777
900,0.4031,0.7840
950,0.3950,0.7900
1000,0.3872,0.7959
1050,0.3826,0.7999
1100,0.3759,0.8044
1150,0.3705,0.8089
1200,0.3652,0.8128
1250,0.3610,0.8159
1300,0.3565,0.8192
1350,0.3520,0.8221
1400,0.3475,0.8252
1450,0.3438,0.8279
1500,0.3406,0.8303
1550,0.3380,0.8327
1600,0.3346,0.8351
1650,0.3316,0.8374
1700,0.3286,0.8395
1750,0.3255,0.8418
1800,0.3223,0.8439
1850,0.3195,0.8459
1900,0.3169,0.8476
1950,0.3147,0.8493
2000,0.3123,0.8509
2050,0.3102,0.8525
2100,0.3079,0.8541
2150,0.1672,0.9450
2200,0.1769,0.9375
2250,0.1832,0.9349
2300,0.1876,0.9332
2350,0.1886,0.9324
2400,0.1844,0.9333
2450,0.1846,0.9324
2500,0.1849,0.9321
2550,0.1835,0.9327
2600,0.1836,0.9323
2650,0.1839,0.9318
2700,0.1837,0.9319
2750,0.1842,0.9320
2800,0.1854,0.9315
2850,0.1844,0.9316
2900,0.1839,0.9316
2950,0.1845,0.9315
3000,0.1843,0.9317
3050,0.1844,0.9315
3100,0.1825,0.9322
3150,0.1819,0.9324
3200,0.1813,0.9327
3250,0.1817,0.9327
3300,0.1808,0.9331
3350,0.1796,0.9338
3400,0.1796,0.9339
3450,0.1798,0.9337
3500,0.1797,0.9338
3550,0.1791,0.9340
3600,0.1794,0.9339
3650,0.1789,0.9341
3700,0.1784,0.9342
3750,0.1774,0.9346
3800,0.1779,0.9342
3850,0.1776,0.9344
3900,0.1778,0.9345
3950,0.1776,0.9346
4000,0.1774,0.9345
4050,0.1764,0.9350
4100,0.1757,0.9354
4150,0.1761,0.9353
4200,0.1759,0.9353
4250,0.1354,0.9561
4300,0.1285,0.9569
4350,0.1233,0.9602
4400,0.1245,0.9596
4450,0.1267,0.9579
4500,0.1272,0.9573
4550,0.1288,0.9560
4600,0.1268,0.9572
4650,0.1268,0.9570
4700,0.1273,0.9571
4750,0.1277,0.9566
4800,0.1287,0.9559
4850,0.1301,0.9552
4900,0.1313,0.9544
4950,0.1307,0.9547
5000,0.1301,0.9550
5050,0.1308,0.9548
5100,0.1315,0.9544
5150,0.1313,0.9549
5200,0.1326,0.9543
5250,0.1320,0.9547
5300,0.1324,0.9545
5350,0.1329,0.9542
5400,0.1331,0.9543
5450,0.1331,0.9542
5500,0.1332,0.9541
5550,0.1329,0.9540
5600,0.1329,0.9538
5650,0.1330,0.9537
5700,0.1324,0.9539
5750,0.1329,0.9538
5800,0.1332,0.9536
5850,0.1332,0.9538
5900,0.1335,0.9536
5950,0.1335,0.9537
6000,0.1333,0.9536
6050,0.1330,0.9538
6100,0.1333,0.9537
6150,0.1336,0.9535
6200,0.1341,0.9532
6250,0.1345,0.9531
6300,0.1346,0.9530
6350,0.0995,0.9704
6400,0.0956,0.9709
6450,0.0986,0.9699
6500,0.0980,0.9696
6550,0.0981,0.9698
6600,0.0962,0.9704
6650,0.0968,0.9701
6700,0.0978,0.9692
6750,0.0992,0.9684
6800,0.1024,0.9668
6850,0.1023,0.9666
6900,0.1046,0.9659
6950,0.1060,0.9653
7000,0.1068,0.9651
7050,0.1065,0.9651
7100,0.1070,0.9648
7150,0.1064,0.9652
7200,0.1066,0.9652
7250,0.1062,0.9653
7300,0.1062,0.9652
7350,0.1063,0.9649
7400,0.1059,0.9650
7450,0.1066,0.9647
7500,0.1075,0.9645
7550,0.1072,0.9646
7600,0.1071,0.9646
7650,0.1070,0.9646
7700,0.1066,0.9647
7750,0.1066,0.9648
7800,0.1075,0.9645
7850,0.1082,0.9641
7900,0.1082,0.9641
7950,0.1085,0.9639
8000,0.1091,0.9638
8050,0.1094,0.9636
8100,0.1092,0.9636
8150,0.1095,0.9634
8200,0.1092,0.9634
8250,0.1096,0.9632
8300,0.1099,0.9630
8350,0.1101,0.9629
8400,0.1099,0.9631
8450,0.0713,0.9770
8500,0.0796,0.9747
8550,0.0818,0.9739
8600,0.0790,0.9754
8650,0.0805,0.9744
8700,0.0841,0.9737
8750,0.0824,0.9739
8800,0.0839,0.9731
8850,0.0836,0.9731
8900,0.0847,0.9725
8950,0.0840,0.9727
9000,0.0843,0.9729
9050,0.0854,0.9723
9100,0.0852,0.9724
9150,0.0846,0.9728
9200,0.0845,0.9727
9250,0.0853,0.9723
9300,0.0860,0.9721
9350,0.0860,0.9720
9400,0.0866,0.9719
9450,0.0867,0.9717
9500,0.0870,0.9716
9550,0.0868,0.9716
9600,0.0873,0.9715
9650,0.0876,0.9715
9700,0.0875,0.9716
9750,0.0870,0.9718
9800,0.0868,0.9718
9850,0.0873,0.9716
9900,0.0876,0.9713
9950,0.0884,0.9712
10000,0.0885,0.9712
10050,0.0888,0.9712
10100,0.0888,0.9713
10150,0.0890,0.9712
10200,0.0887,0.9713
10250,0.0889,0.9712
10300,0.0893,0.9710
10350,0.0895,0.9710
10400,0.0896,0.9710
10450,0.0895,0.9709
10500,0.0893,0.9710
10550,0.0715,0.9802
10600,0.0707,0.9785
10650,0.0664,0.9810
10700,0.0648,0.9814
10750,0.0671,0.9800
10800,0.0663,0.9806
10850,0.0683,0.9795
10900,0.0712,0.9781
10950,0.0705,0.9782
11000,0.0700,0.9782
11050,0.0684,0.9788
11100,0.0693,0.9787
11150,0.0704,0.9783
11200,0.0698,0.9783
11250,0.0691,0.9786
11300,0.0697,0.9784
11350,0.0705,0.9781
11400,0.0701,0.9783
11450,0.0701,0.9784
11500,0.0704,0.9783
11550,0.0700,0.9785
11600,0.0712,0.9781
11650,0.0715,0.9779
11700,0.0717,0.9778
11750,0.0713,0.9779
11800,0.0708,0.9780
11850,0.0708,0.9780
11900,0.0714,0.9778
11950,0.0721,0.9776
12000,0.0722,0.9776
12050,0.0725,0.9775
12100,0.0728,0.9775
12150,0.0731,0.9774
12200,0.0735,0.9771
12250,0.0738,0.9768
12300,0.0738,0.9769
12350,0.0737,0.9769
12400,0.0738,0.9768
12450,0.0735,0.9768
12500,0.0739,0.9767
12550,0.0742,0.9766
12600,0.0744,0.9765
12650,0.0497,0.9820
12700,0.0554,0.9815
12750,0.0528,0.9844
12800,0.0545,0.9837
12850,0.0537,0.9840
12900,0.0525,0.9846
12950,0.0545,0.9841
13000,0.0559,0.9835
13050,0.0574,0.9829
13100,0.0580,0.9827
13150,0.0590,0.9823
13200,0.0595,0.9820
13250,0.0601,0.9818
13300,0.0600,0.9818
13350,0.0603,0.9818
13400,0.0607,0.9818
13450,0.0599,0.9821
13500,0.0601,0.9819
13550,0.0597,0.9821
13600,0.0594,0.9821
13650,0.0592,0.9822
13700,0.0587,0.9822
13750,0.0593,0.9821
13800,0.0594,0.9821
13850,0.0595,0.9820
13900,0.0590,0.9821
13950,0.0588,0.9822
14000,0.0586,0.9823
14050,0.0588,0.9823
14100,0.0594,0.9822
14150,0.0590,0.9823
14200,0.0590,0.9823
14250,0.0588,0.9824
14300,0.0591,0.9823
14350,0.0590,0.9823
14400,0.0597,0.9821
14450,0.0603,0.9819
14500,0.0601,0.9819
14550,0.0603,0.9818
14600,0.0604,0.9817
14650,0.0604,0.9818
14700,0.0605,0.9817
14750,0.0602,0.9844
14800,0.0480,0.9887
14850,0.0409,0.9903
14900,0.0435,0.9893
14950,0.0463,0.9873
15000,0.0475,0.9867
15050,0.0481,0.9865
15100,0.0486,0.9864
15150,0.0482,0.9866
15200,0.0481,0.9870
15250,0.0485,0.9866
15300,0.0484,0.9867
15350,0.0485,0.9864
15400,0.0483,0.9864
15450,0.0477,0.9865
15500,0.0480,0.9864
15550,0.0478,0.9864
15600,0.0475,0.9864
15650,0.0473,0.9863
15700,0.0476,0.9860
15750,0.0482,0.9858
15800,0.0482,0.9858
15850,0.0482,0.9858
15900,0.0483,0.9858
15950,0.0478,0.9859
16000,0.0481,0.9859
16050,0.0479,0.9861
16100,0.0474,0.9862
16150,0.0474,0.9862
16200,0.0475,0.9862
16250,0.0477,0.9862
16300,0.0476,0.9863
16350,0.0477,0.9862
16400,0.0473,0.9864
16450,0.0475,0.9864
16500,0.0477,0.9863
16550,0.0477,0.9863
16600,0.0480,0.9862
16650,0.0479,0.9862
16700,0.0481,0.9862
16750,0.0480,0.9863
16800,0.0478,0.9864
