iteration,train_loss,train_accuracy
50,0.6929,0.5219
100,0.6937,0.5106
150,0.6931,0.5106
200,0.6910,0.5219
250,0.6821,0.5350
300,0.6500,0.5797
350,0.6096,0.6186
400,0.5775,0.6487
450,0.5477,0.6738
500,0.5232,0.6949
550,0.5049,0.7105
600,0.4892,0.7235
650,0.4733,0.7360
700,0.4618,0.7449
750,0.4507,0.7540
800,0.4407,0.7615
850,0.4321,0.7685
900,0.4230,0.7751
950,0.4141,0.7815
1000,0.4058,0.7876
1050,0.3991,0.7927
1100,0.3937,0.7969
1150,0.3879,0.8011
1200,0.3823,0.8053
1250,0.3770,0.8091
1300,0.3722,0.8128
1350,0.3669,0.8162
1400,0.3627,0.8193
1450,0.3581,0.8226
1500,0.3551,0.8249
1550,0.3528,0.8270
1600,0.3492,0.8293
1650,0.3453,0.8319
1700,0.3412,0.8344
1750,0.3378,0.8367
1800,0.3334,0.8393
1850,0.3302,0.8416
1900,0.3281,0.8431
1950,0.3259,0.8446
2000,0.3230,0.8464
2050,0.3206,0.8481
2100,0.3183,0.8497
2150,0.1730,0.9382
2200,0.1822,0.9349
2250,0.1796,0.9362
2300,0.1828,0.9351
2350,0.1811,0.9355
2400,0.1837,0.9343
2450,0.1848,0.9335
2500,0.1847,0.9334
2550,0.1843,0.9339
2600,0.1830,0.9348
2650,0.1825,0.9344
2700,0.1815,0.9346
2750,0.1810,0.9350
2800,0.1809,0.9347
2850,0.1794,0.9352
2900,0.1807,0.9346
2950,0.1800,0.9351
3000,0.1798,0.9352
3050,0.1790,0.9356
3100,0.1791,0.9356
3150,0.1782,0.9361
3200,0.1781,0.9362
3250,0.1777,0.9361
3300,0.1779,0.9359
3350,0.1779,0.9360
3400,0.1776,0.9361
3450,0.1771,0.9363
3500,0.1769,0.9365
3550,0.1765,0.9366
3600,0.1769,0.9364
3650,0.1762,0.9368
3700,0.1760,0.9369
3750,0.1758,0.9369
3800,0.1758,0.9370
3850,0.1753,0.9371
3900,0.1754,0.9373
3950,0.1756,0.9371
4000,0.1757,0.9369
4050,0.1755,0.9370
4100,0.1754,0.9371
4150,0.1754,0.9371
4200,0.1749,0.9373
4250,0.1201,0.9591
4300,0.1151,0.9630
4350,0.1227,0.9593
4400,0.1209,0.9603
4450,0.1222,0.9596
4500,0.1229,0.9592
4550,0.1250,0.9581
4600,0.1246,0.9579
4650,0.1230,0.9586
4700,0.1239,0.9588
4750,0.1271,0.9572
4800,0.1259,0.9579
4850,0.1261,0.9575
4900,0.1276,0.9566
4950,0.1274,0.9569
5000,0.1279,0.9567
5050,0.1283,0.9564
5100,0.1276,0.9566
5150,0.1282,0.9563
5200,0.1281,0.9563
5250,0.1281,0.9564
5300,0.1276,0.9566
5350,0.1278,0.9565
5400,0.1283,0.9565
5450,0.1283,0.9563
5500,0.1280,0.9564
5550,0.1280,0.9566
5600,0.1277,0.9567
5650,0.1280,0.9565
5700,0.1279,0.9563
5750,0.1279,0.9562
5800,0.1285,0.9559
5850,0.1285,0.9560
5900,0.1293,0.9557
5950,0.1295,0.9556
6000,0.1301,0.9553
6050,0.1303,0.9553
6100,0.1302,0.9554
6150,0.1303,0.9554
6200,0.1301,0.9556
6250,0.1301,0.9557
6300,0.1303,0.9556
6350,0.0932,0.9696
6400,0.0988,0.9663
6450,0.0947,0.9685
6500,0.0968,0.9686
6550,0.0987,0.9682
6600,0.0997,0.9681
6650,0.0988,0.9685
6700,0.0998,0.9676
6750,0.0990,0.9676
6800,0.1007,0.9673
6850,0.1012,0.9668
6900,0.1012,0.9669
6950,0.1015,0.9670
7000,0.1027,0.9664
7050,0.1016,0.9667
7100,0.1017,0.9667
7150,0.1011,0.9670
7200,0.1015,0.9668
7250,0.1019,0.9667
7300,0.1017,0.9668
7350,0.1018,0.9667
7400,0.1027,0.9663
7450,0.1034,0.9661
7500,0.1035,0.9660
7550,0.1038,0.9658
7600,0.1040,0.9657
7650,0.1034,0.9660
7700,0.1033,0.9661
7750,0.1032,0.9662
7800,0.1040,0.9659
7850,0.1040,0.9659
7900,0.1038,0.9660
7950,0.1041,0.9659
8000,0.1046,0.9657
8050,0.1046,0.9656
8100,0.1044,0.9657
8150,0.1048,0.9656
8200,0.1045,0.9657
8250,0.1050,0.9657
8300,0.1051,0.9655
8350,0.1056,0.9653
8400,0.1052,0.9654
8450,0.0764,0.9798
8500,0.0856,0.9743
8550,0.0867,0.9743
