iteration,train_loss,train_accuracy
50,0.6872,0.5606
100,0.6864,0.5678
150,0.6847,0.5696
200,0.6816,0.5675
250,0.6513,0.6036
300,0.6068,0.6438
350,0.5699,0.6747
400,0.5354,0.7013
450,0.5109,0.7193
500,0.4917,0.7336
550,0.4762,0.7458
600,0.4606,0.7576
650,0.4484,0.7665
700,0.4375,0.7747
750,0.4272,0.7822
800,0.4192,0.7886
850,0.4108,0.7945
900,0.4043,0.7991
950,0.3957,0.8046
1000,0.3897,0.8088
1050,0.3841,0.8126
1100,0.3787,0.8160
1150,0.3723,0.8200
1200,0.3665,0.8236
1250,0.3614,0.8270
1300,0.3573,0.8299
1350,0.3544,0.8319
1400,0.3490,0.8349
1450,0.3454,0.8374
1500,0.3414,0.8400
1550,0.3384,0.8421
1600,0.3349,0.8446
1650,0.3320,0.8466
1700,0.3293,0.8484
1750,0.3259,0.8505
1800,0.3236,0.8521
1850,0.3210,0.8537
1900,0.3187,0.8551
1950,0.3159,0.8568
2000,0.3133,0.8584
2050,0.3109,0.8598
2100,0.3087,0.8612
2150,0.1861,0.9348
2200,0.1972,0.9251
2250,0.1950,0.9272
2300,0.1981,0.9255
2350,0.1967,0.9264
2400,0.1984,0.9258
2450,0.1954,0.9273
2500,0.1954,0.9272
2550,0.1939,0.9285
2600,0.1950,0.9277
2650,0.1964,0.9273
2700,0.1961,0.9271
2750,0.1946,0.9280
2800,0.1946,0.9277
2850,0.1925,0.9287
2900,0.1914,0.9293
2950,0.1903,0.9300
3000,0.1905,0.9299
3050,0.1901,0.9301
3100,0.1885,0.9311
3150,0.1863,0.9322
3200,0.1856,0.9327
3250,0.1860,0.9325
3300,0.1857,0.9325
3350,0.1849,0.9327
3400,0.1846,0.9328
3450,0.1839,0.9329
3500,0.1836,0.9332
3550,0.1842,0.9330
3600,0.1838,0.9333
3650,0.1835,0.9333
3700,0.1828,0.9336
3750,0.1821,0.9338
3800,0.1815,0.9341
3850,0.1808,0.9343
3900,0.1804,0.9344
3950,0.1802,0.9343
4000,0.1800,0.9344
4050,0.1795,0.9346
4100,0.1799,0.9345
4150,0.1795,0.9346
4200,0.1788,0.9348
4250,0.1117,0.9621
4300,0.1148,0.9606
4350,0.1207,0.9582
4400,0.1231,0.9577
4450,0.1258,0.9566
4500,0.1280,0.9568
4550,0.1307,0.9556
4600,0.1310,0.9557
4650,0.1307,0.9552
