iteration,train_loss,train_accuracy
50,0.6919,0.5387
100,0.6933,0.5363
150,0.6926,0.5346
200,0.6907,0.5433
250,0.6896,0.5477
300,0.6875,0.5539
350,0.6807,0.5653
400,0.6549,0.5976
450,0.6226,0.6258
500,0.5953,0.6492
550,0.5697,0.6694
600,0.5517,0.6849
650,0.5337,0.6993
700,0.5190,0.7111
750,0.5041,0.7222
800,0.4897,0.7321
850,0.4791,0.7403
900,0.4688,0.7478
950,0.4578,0.7556
1000,0.4489,0.7620
1050,0.4416,0.7673
1100,0.4352,0.7721
1150,0.4278,0.7772
1200,0.4206,0.7821
1250,0.4147,0.7865
1300,0.4087,0.7910
1350,0.4030,0.7947
1400,0.3978,0.7985
1450,0.3932,0.8019
1500,0.3893,0.8047
1550,0.3853,0.8079
1600,0.3814,0.8106
1650,0.3774,0.8131
1700,0.3738,0.8157
1750,0.3706,0.8179
1800,0.3670,0.8205
1850,0.3637,0.8225
1900,0.3597,0.8251
1950,0.3564,0.8270
2000,0.3531,0.8292
2050,0.3497,0.8314
2100,0.3467,0.8333
2150,0.2090,0.9205
2200,0.2176,0.9141
2250,0.2174,0.9172
2300,0.2167,0.9180
2350,0.2145,0.9184
2400,0.2150,0.9190
2450,0.2137,0.9190
2500,0.2104,0.9197
2550,0.2110,0.9189
2600,0.2092,0.9199
2650,0.2084,0.9196
2700,0.2102,0.9185
2750,0.2078,0.9199
2800,0.2076,0.9204
2850,0.2068,0.9205
2900,0.2058,0.9211
2950,0.2041,0.9219
3000,0.2042,0.9217
3050,0.2037,0.9221
3100,0.2031,0.9227
3150,0.2021,0.9231
3200,0.2014,0.9236
3250,0.2011,0.9235
3300,0.2008,0.9237
3350,0.2007,0.9236
3400,0.2000,0.9239
3450,0.2001,0.9237
3500,0.2001,0.9238
3550,0.1991,0.9242
3600,0.1985,0.9247
3650,0.1978,0.9249
3700,0.1964,0.9256
3750,0.1962,0.9256
3800,0.1957,0.9258
3850,0.1957,0.9258
3900,0.1949,0.9260
3950,0.1946,0.9262
4000,0.1942,0.9265
4050,0.1940,0.9265
4100,0.1934,0.9269
4150,0.1930,0.9269
4200,0.1932,0.9268
4250,0.1603,0.9412
4300,0.1459,0.9490
4350,0.1487,0.9459
4400,0.1519,0.9450
4450,0.1494,0.9451
4500,0.1522,0.9449
4550,0.1524,0.9448
4600,0.1541,0.9446
4650,0.1540,0.9447
4700,0.1529,0.9451
4750,0.1539,0.9449
4800,0.1519,0.9457
4850,0.1513,0.9461
4900,0.1503,0.9469
4950,0.1494,0.9474
5000,0.1502,0.9473
5050,0.1502,0.9470
5100,0.1500,0.9470
5150,0.1492,0.9473
5200,0.1497,0.9469
5250,0.1498,0.9467
5300,0.1493,0.9470
5350,0.1486,0.9474
5400,0.1484,0.9475
5450,0.1485,0.9474
5500,0.1482,0.9475
5550,0.1478,0.9476
5600,0.1478,0.9474
5650,0.1475,0.9476
5700,0.1472,0.9477
5750,0.1467,0.9478
5800,0.1465,0.9479
5850,0.1468,0.9477
5900,0.1464,0.9480
5950,0.1466,0.9477
6000,0.1462,0.9479
6050,0.1459,0.9480
6100,0.1463,0.9479
6150,0.1459,0.9480
6200,0.1462,0.9478
6250,0.1458,0.9480
6300,0.1455,0.9480
6350,0.1353,0.9531
6400,0.1298,0.9542
6450,0.1273,0.9543
6500,0.1215,0.9576
6550,0.1244,0.9565
6600,0.1236,0.9565
6650,0.1235,0.9577
6700,0.1222,0.9581
6750,0.1206,0.9585
6800,0.1196,0.9586
6850,0.1219,0.9575
6900,0.1222,0.9572
6950,0.1211,0.9575
7000,0.1200,0.9583
7050,0.1193,0.9587
7100,0.1190,0.9588
7150,0.1193,0.9588
7200,0.1199,0.9585
7250,0.1197,0.9588
7300,0.1195,0.9588
7350,0.1203,0.9586
7400,0.1206,0.9583
7450,0.1205,0.9584
7500,0.1204,0.9584
7550,0.1212,0.9581
7600,0.1216,0.9582
7650,0.1218,0.9582
7700,0.1213,0.9583
7750,0.1205,0.9586
7800,0.1208,0.9586
7850,0.1204,0.9587
7900,0.1200,0.9588
7950,0.1197,0.9590
8000,0.1197,0.9589
8050,0.1195,0.9592
8100,0.1194,0.9592
8150,0.1196,0.9592
8200,0.1197,0.9590
8250,0.1204,0.9587
8300,0.1206,0.9587
8350,0.1212,0.9586
8400,0.1207,0.9587
8450,0.0934,0.9678
8500,0.0915,0.9688
8550,0.0931,0.9699
8600,0.0943,0.9686
8650,0.0982,0.9674
8700,0.0993,0.9671
8750,0.0991,0.9673
8800,0.0981,0.9678
8850,0.0969,0.9682
8900,0.0968,0.9680
8950,0.0983,0.9675
9000,0.0980,0.9677
9050,0.0991,0.9670
9100,0.1011,0.9660
9150,0.1027,0.9656
9200,0.1031,0.9655
9250,0.1031,0.9656
9300,0.1032,0.9657
9350,0.1031,0.9656
9400,0.1034,0.9654
9450,0.1039,0.9653
9500,0.1043,0.9652
9550,0.1033,0.9657
9600,0.1033,0.9657
9650,0.1041,0.9654
9700,0.1039,0.9654
9750,0.1033,0.9656
9800,0.1037,0.9655
9850,0.1034,0.9657
9900,0.1030,0.9659
9950,0.1031,0.9657
10000,0.1029,0.9656
10050,0.1031,0.9655
10100,0.1037,0.9654
10150,0.1038,0.9655
10200,0.1042,0.9652
10250,0.1044,0.9651
10300,0.1045,0.9649
10350,0.1043,0.9649
10400,0.1041,0.9650
10450,0.1045,0.9648
10500,0.1046,0.9648
10550,0.0806,0.9771
10600,0.0842,0.9746
10650,0.0797,0.9762
10700,0.0851,0.9748
