iteration,train_loss,train_accuracy
50,0.6982,0.4569
100,0.6971,0.4719
150,0.6953,0.4919
200,0.6896,0.5223
250,0.6514,0.5779
300,0.6042,0.6227
350,0.5677,0.6558
400,0.5399,0.6807
450,0.5131,0.7027
500,0.4942,0.7190
550,0.4759,0.7332
600,0.4603,0.7455
650,0.4445,0.7578
700,0.4321,0.7675
750,0.4206,0.7760
800,0.4118,0.7830
850,0.4037,0.7892
900,0.3966,0.7945
950,0.3890,0.8001
1000,0.3830,0.8047
1050,0.3775,0.8090
1100,0.3715,0.8133
1150,0.3669,0.8164
1200,0.3612,0.8202
1250,0.3573,0.8233
1300,0.3527,0.8263
1350,0.3488,0.8292
1400,0.3454,0.8320
1450,0.3408,0.8349
1500,0.3377,0.8370
1550,0.3344,0.8393
1600,0.3309,0.8416
1650,0.3280,0.8436
1700,0.3251,0.8456
1750,0.3228,0.8471
1800,0.3205,0.8488
1850,0.3180,0.8504
1900,0.3151,0.8522
1950,0.3126,0.8538
2000,0.3104,0.8554
2050,0.3080,0.8569
2100,0.3063,0.8581
2150,0.1767,0.9382
2200,0.1863,0.9342
2250,0.1938,0.9300
2300,0.1899,0.9313
2350,0.1875,0.9306
2400,0.1861,0.9308
2450,0.1854,0.9310
2500,0.1839,0.9317
2550,0.1843,0.9315
2600,0.1819,0.9325
2650,0.1806,0.9330
2700,0.1802,0.9332
2750,0.1822,0.9324
2800,0.1835,0.9318
2850,0.1827,0.9320
2900,0.1816,0.9325
2950,0.1822,0.9319
3000,0.1818,0.9324
3050,0.1816,0.9324
3100,0.1824,0.9320
3150,0.1827,0.9321
3200,0.1832,0.9318
3250,0.1838,0.9316
3300,0.1844,0.9316
3350,0.1845,0.9318
3400,0.1841,0.9321
3450,0.1834,0.9324
3500,0.1828,0.9326
3550,0.1829,0.9327
3600,0.1830,0.9328
3650,0.1831,0.9328
3700,0.1832,0.9328
3750,0.1829,0.9330
3800,0.1825,0.9330
3850,0.1822,0.9332
3900,0.1824,0.9333
3950,0.1821,0.9333
4000,0.1819,0.9333
4050,0.1817,0.9334
4100,0.1810,0.9336
4150,0.1811,0.9336
4200,0.1806,0.9337
4250,0.1318,0.9576
4300,0.1360,0.9521
4350,0.1319,0.9547
4400,0.1295,0.9552
4450,0.1342,0.9545
4500,0.1353,0.9537
4550,0.1351,0.9537
4600,0.1334,0.9542
4650,0.1339,0.9540
4700,0.1341,0.9536
4750,0.1365,0.9521
4800,0.1362,0.9525
4850,0.1367,0.9522
4900,0.1386,0.9512
4950,0.1389,0.9514
5000,0.1398,0.9512
5050,0.1413,0.9508
5100,0.1413,0.9508
5150,0.1409,0.9512
5200,0.1413,0.9510
5250,0.1421,0.9507
5300,0.1422,0.9506
5350,0.1419,0.9509
5400,0.1422,0.9508
5450,0.1432,0.9503
5500,0.1431,0.9501
5550,0.1425,0.9502
5600,0.1418,0.9505
5650,0.1420,0.9504
5700,0.1426,0.9503
5750,0.1420,0.9505
5800,0.1420,0.9504
5850,0.1423,0.9502
5900,0.1426,0.9501
5950,0.1426,0.9499
6000,0.1423,0.9501
6050,0.1423,0.9501
6100,0.1420,0.9501
6150,0.1421,0.9501
6200,0.1414,0.9503
6250,0.1411,0.9506
6300,0.1412,0.9505
6350,0.0931,0.9720
6400,0.1114,0.9663
6450,0.1136,0.9656
6500,0.1182,0.9619
6550,0.1183,0.9607
6600,0.1152,0.9623
6650,0.1120,0.9627
6700,0.1108,0.9634
6750,0.1149,0.9618
6800,0.1147,0.9621
6850,0.1156,0.9616
6900,0.1158,0.9612
6950,0.1151,0.9614
7000,0.1145,0.9613
7050,0.1148,0.9613
7100,0.1143,0.9612
7150,0.1149,0.9611
7200,0.1155,0.9609
7250,0.1149,0.9613
7300,0.1145,0.9614
7350,0.1150,0.9611
7400,0.1151,0.9611
7450,0.1149,0.9612
7500,0.1149,0.9611
7550,0.1140,0.9614
7600,0.1140,0.9614
7650,0.1147,0.9609
7700,0.1148,0.9608
7750,0.1151,0.9608
7800,0.1151,0.9607
7850,0.1152,0.9607
7900,0.1156,0.9604
7950,0.1159,0.9604
8000,0.1159,0.9605
8050,0.1157,0.9605
8100,0.1161,0.9605
8150,0.1161,0.9605
8200,0.1163,0.9605
8250,0.1161,0.9605
8300,0.1169,0.9602
8350,0.1166,0.9603
8400,0.1166,0.9603
8450,0.0733,0.9743
8500,0.0730,0.9766
8550,0.0746,0.9748
8600,0.0767,0.9750
8650,0.0814,0.9729
8700,0.0804,0.9727
8750,0.0828,0.9722
8800,0.0828,0.9724
