iteration,train_loss,train_accuracy
50,0.6979,0.4556
100,0.6966,0.4650
150,0.6939,0.4915
200,0.6681,0.5542
250,0.6145,0.6128
300,0.5682,0.6558
350,0.5327,0.6869
400,0.5049,0.7102
450,0.4857,0.7265
500,0.4669,0.7411
550,0.4509,0.7544
600,0.4372,0.7647
650,0.4266,0.7734
700,0.4173,0.7804
750,0.4080,0.7873
800,0.3991,0.7938
850,0.3910,0.7996
900,0.3833,0.8051
950,0.3777,0.8098
1000,0.3719,0.8142
1050,0.3662,0.8182
1100,0.3606,0.8222
1150,0.3568,0.8252
1200,0.3530,0.8282
1250,0.3482,0.8315
1300,0.3445,0.8342
1350,0.3411,0.8365
1400,0.3385,0.8384
1450,0.3350,0.8410
1500,0.3316,0.8431
1550,0.3286,0.8453
1600,0.3259,0.8471
1650,0.3227,0.8492
1700,0.3197,0.8512
1750,0.3173,0.8529
1800,0.3156,0.8539
1850,0.3134,0.8554
1900,0.3121,0.8565
1950,0.3105,0.8578
2000,0.3084,0.8590
2050,0.3063,0.8605
2100,0.3041,0.8619
2150,0.2067,0.9226
2200,0.1991,0.9258
2250,0.1926,0.9279
2300,0.1938,0.9279
2350,0.1953,0.9270
2400,0.2030,0.9240
2450,0.1999,0.9249
2500,0.2010,0.9248
2550,0.1985,0.9259
2600,0.2020,0.9246
2650,0.2029,0.9246
2700,0.2033,0.9244
2750,0.2031,0.9244
2800,0.2007,0.9258
2850,0.2003,0.9258
2900,0.2006,0.9254
2950,0.1999,0.9254
3000,0.2004,0.9248
3050,0.2003,0.9250
3100,0.1999,0.9254
3150,0.1992,0.9258
3200,0.1982,0.9265
3250,0.1979,0.9267
3300,0.1982,0.9268
3350,0.1986,0.9267
3400,0.1992,0.9264
3450,0.1982,0.9268
3500,0.1981,0.9268
3550,0.1977,0.9267
3600,0.1981,0.9266
3650,0.1982,0.9266
3700,0.1978,0.9268
3750,0.1974,0.9267
3800,0.1974,0.9266
3850,0.1976,0.9266
3900,0.1971,0.9268
3950,0.1970,0.9269
4000,0.1967,0.9271
4050,0.1971,0.9268
4100,0.1965,0.9271
4150,0.1952,0.9276
4200,0.1955,0.9274
4250,0.1442,0.9501
4300,0.1460,0.9477
4350,0.1443,0.9481
4400,0.1466,0.9474
4450,0.1443,0.9478
