iteration,train_loss,train_perplexity
1,46.443651,485165195.409790
50,32.475868,485165195.409790
100,28.167357,485165195.409790
150,25.753510,485165195.409790
200,24.566990,485165195.409790
250,23.650778,485165195.409790
300,23.123372,485165195.409790
350,22.780851,485165195.409790
400,22.494163,485165195.409790
450,22.263474,485165195.409790
500,22.050398,485165195.409790
550,21.838565,485165195.409790
600,21.694965,485165195.409790
650,21.575374,485165195.409790
700,21.448447,485165195.409790
750,21.335654,485165195.409790
800,21.242708,485165195.409790
850,21.185617,485165195.409790
900,21.116869,485165195.409790
950,21.065199,485165195.409790
1000,20.999005,485165195.409790
1050,20.939387,485165195.409790
1100,20.884352,485165195.409790
1150,20.830584,485165195.409790
1200,20.790034,485165195.409790
1250,20.756776,485165195.409790
1300,20.714275,485165195.409790
1350,20.666239,485165195.409790
1400,20.616730,485165195.409790
1450,20.595927,485165195.409790
1500,20.542842,485165195.409790
1550,20.503288,485165195.409790
1600,20.478990,485165195.409790
1650,20.442416,485165195.409790
1700,20.402518,485165195.409790
1750,20.380971,485165195.409790
1800,20.360571,485165195.409790
1850,20.333340,485165195.409790
1900,20.314799,485165195.409790
1950,20.286721,485165195.409790
2000,20.268540,485165195.409790
2050,20.246277,485165195.409790
2100,20.235333,485165195.409790
2150,20.223639,485165195.409790
2200,20.207962,485165195.409790
2250,20.189931,485165195.409790
2300,20.182420,485165195.409790
2350,20.167248,485165195.409790
2400,20.157003,485165195.409790
2450,20.137440,485165195.409790
2500,20.115066,485165195.409790
2550,20.097802,485165195.409790
2600,20.095676,485165195.409790
