lr,lora_r,lora_alpha,weight_decay,max_steps,eval_every,sft_preset,sft_val_ratio,lora_type,best_eval_perplexity,best_eval_loss,best_iteration,last_eval_perplexity,last_eval_loss,last_iteration,metrics_dir,status
0.002,32,64.0,0.01,500,100,alpaca_train_1k,0.2,default,4.648861,1.536622,100,370.513499,5.91489,500,deepseek_autogrid/results/lr_2p0000e-03_r32_a64_st500_wd_1p0000e-02,ok
2e-05,16,64.0,0.0,500,100,alpaca_train_1k,0.2,default,4.680946,1.5435,500,4.682113,1.54375,500,deepseek_autogrid/results/lr_2p0000e-05_r16_a64_st500_wd_0p0000e00,ok
2e-05,16,64.0,0.01,500,100,alpaca_train_1k,0.2,default,4.680962,1.543504,500,4.681937,1.543712,500,deepseek_autogrid/results/lr_2p0000e-05_r16_a64_st500_wd_1p0000e-02,ok
2e-05,32,64.0,0.01,500,100,alpaca_train_1k,0.2,default,4.697736,1.547081,500,4.697736,1.547081,500,deepseek_autogrid/results/lr_2p0000e-05_r32_a64_st500_wd_1p0000e-02,ok
2e-05,32,64.0,0.0,500,100,alpaca_train_1k,0.2,default,4.697838,1.547102,500,4.698695,1.547285,500,deepseek_autogrid/results/lr_2p0000e-05_r32_a64_st500_wd_0p0000e00,ok
2e-05,64,64.0,0.0,500,100,alpaca_train_1k,0.2,default,4.713727,1.550479,500,4.714843,1.550716,500,deepseek_autogrid/results/lr_2p0000e-05_r64_a64_st500_wd_0p0000e00,ok
2e-05,64,64.0,0.01,500,100,alpaca_train_1k,0.2,default,4.713743,1.550482,500,4.713743,1.550482,500,deepseek_autogrid/results/lr_2p0000e-05_r64_a64_st500_wd_1p0000e-02,ok
0.0002,32,32.0,0.0,500,100,alpaca_train_1k,0.2,default,4.730058,1.553937,400,4.751224,1.558402,500,deepseek_autogrid/results/lr_2p0000e-04_r32_a32_st500_wd_0p0000e00,ok
2e-05,64,32.0,0.0,500,100,alpaca_train_1k,0.2,default,4.88307,1.585774,500,4.883273,1.585816,500,deepseek_autogrid/results/lr_2p0000e-05_r64_a32_st500_wd_0p0000e00,ok
2e-05,64,32.0,0.01,500,100,alpaca_train_1k,0.2,default,4.883087,1.585778,500,4.883288,1.585819,500,deepseek_autogrid/results/lr_2p0000e-05_r64_a32_st500_wd_1p0000e-02,ok
2e-05,16,32.0,0.0,500,100,alpaca_train_1k,0.2,default,4.89224,1.58765,500,4.89224,1.58765,500,deepseek_autogrid/results/lr_2p0000e-05_r16_a32_st500_wd_0p0000e00,ok
2e-05,16,32.0,0.01,500,100,alpaca_train_1k,0.2,default,4.89226,1.587654,500,4.89226,1.587654,500,deepseek_autogrid/results/lr_2p0000e-05_r16_a32_st500_wd_1p0000e-02,ok
2e-05,32,32.0,0.0,500,100,alpaca_train_1k,0.2,default,4.895837,1.588385,500,4.895837,1.588385,500,deepseek_autogrid/results/lr_2p0000e-05_r32_a32_st500_wd_0p0000e00,ok
2e-05,32,32.0,0.01,500,100,alpaca_train_1k,0.2,default,4.895858,1.58839,500,4.895858,1.58839,500,deepseek_autogrid/results/lr_2p0000e-05_r32_a32_st500_wd_1p0000e-02,ok
2e-05,64,16.0,0.0,500,100,alpaca_train_1k,0.2,default,5.146675,1.638351,500,5.146675,1.638351,500,deepseek_autogrid/results/lr_2p0000e-05_r64_a16_st500_wd_0p0000e00,ok
2e-05,64,16.0,0.01,500,100,alpaca_train_1k,0.2,default,5.146701,1.638356,500,5.146701,1.638356,500,deepseek_autogrid/results/lr_2p0000e-05_r64_a16_st500_wd_1p0000e-02,ok
2e-05,32,16.0,0.0,500,100,alpaca_train_1k,0.2,default,5.152879,1.639556,500,5.152879,1.639556,500,deepseek_autogrid/results/lr_2p0000e-05_r32_a16_st500_wd_0p0000e00,ok
2e-05,32,16.0,0.01,500,100,alpaca_train_1k,0.2,default,5.152904,1.63956,500,5.153008,1.639581,500,deepseek_autogrid/results/lr_2p0000e-05_r32_a16_st500_wd_1p0000e-02,ok
2e-05,16,16.0,0.0,500,100,alpaca_train_1k,0.2,default,5.159768,1.640892,500,5.159822,1.640902,500,deepseek_autogrid/results/lr_2p0000e-05_r16_a16_st500_wd_0p0000e00,ok
2e-05,16,16.0,0.01,500,100,alpaca_train_1k,0.2,default,5.159794,1.640897,500,5.159794,1.640897,500,deepseek_autogrid/results/lr_2p0000e-05_r16_a16_st500_wd_1p0000e-02,ok
0.002,16,16.0,0.01,500,100,alpaca_train_1k,0.2,default,6.064593,1.802467,200,32.546889,3.482682,500,deepseek_autogrid/results/lr_2p0000e-03_r16_a16_st500_wd_1p0000e-02,ok
