iteration,train_loss,train_accuracy
50,0.6998,0.4506
100,0.7003,0.4441
150,0.6990,0.4554
200,0.6968,0.4778
250,0.6898,0.4970
300,0.6571,0.5430
350,0.6184,0.5851
400,0.5865,0.6183
450,0.5535,0.6484
500,0.5293,0.6710
550,0.5079,0.6903
600,0.4911,0.7055
650,0.4743,0.7193
700,0.4604,0.7316
750,0.4473,0.7425
800,0.4358,0.7518
850,0.4265,0.7600
900,0.4185,0.7669
950,0.4111,0.7734
1000,0.4044,0.7792
1050,0.3993,0.7841
1100,0.3924,0.7894
1150,0.3870,0.7936
1200,0.3824,0.7972
1250,0.3765,0.8018
1300,0.3713,0.8056
1350,0.3669,0.8091
1400,0.3630,0.8123
1450,0.3593,0.8153
1500,0.3556,0.8182
1550,0.3516,0.8212
1600,0.3474,0.8243
1650,0.3435,0.8271
1700,0.3405,0.8293
1750,0.3376,0.8315
1800,0.3344,0.8337
1850,0.3311,0.8360
1900,0.3284,0.8380
1950,0.3257,0.8399
2000,0.3233,0.8417
2050,0.3215,0.8433
2100,0.3186,0.8452
2150,0.1995,0.9348
2200,0.1924,0.9326
2250,0.1939,0.9302
2300,0.1882,0.9324
2350,0.1849,0.9332
2400,0.1882,0.9319
2450,0.1876,0.9317
2500,0.1859,0.9325
2550,0.1832,0.9331
2600,0.1798,0.9348
2650,0.1800,0.9345
2700,0.1798,0.9343
2750,0.1801,0.9343
2800,0.1809,0.9339
2850,0.1792,0.9346
2900,0.1801,0.9344
2950,0.1810,0.9339
3000,0.1816,0.9337
3050,0.1814,0.9337
3100,0.1803,0.9340
3150,0.1796,0.9344
3200,0.1793,0.9346
3250,0.1791,0.9346
3300,0.1795,0.9342
3350,0.1805,0.9336
3400,0.1807,0.9335
3450,0.1797,0.9339
3500,0.1793,0.9342
3550,0.1788,0.9343
3600,0.1788,0.9342
3650,0.1784,0.9344
3700,0.1773,0.9350
3750,0.1767,0.9351
3800,0.1762,0.9353
3850,0.1759,0.9355
3900,0.1758,0.9355
3950,0.1754,0.9356
4000,0.1759,0.9355
4050,0.1760,0.9355
4100,0.1758,0.9356
4150,0.1754,0.9358
4200,0.1753,0.9359
4250,0.1266,0.9606
4300,0.1304,0.9538
4350,0.1313,0.9531
4400,0.1284,0.9543
4450,0.1267,0.9544
4500,0.1316,0.9537
4550,0.1306,0.9537
4600,0.1294,0.9542
4650,0.1302,0.9537
4700,0.1291,0.9540
4750,0.1303,0.9537
4800,0.1323,0.9531
4850,0.1313,0.9533
4900,0.1325,0.9529
4950,0.1325,0.9530
5000,0.1331,0.9529
5050,0.1334,0.9528
5100,0.1319,0.9535
5150,0.1311,0.9538
5200,0.1312,0.9538
5250,0.1306,0.9540
5300,0.1302,0.9542
5350,0.1296,0.9545
5400,0.1304,0.9542
5450,0.1307,0.9543
5500,0.1301,0.9547
5550,0.1299,0.9548
5600,0.1301,0.9548
5650,0.1305,0.9547
5700,0.1304,0.9547
5750,0.1301,0.9548
5800,0.1306,0.9546
5850,0.1305,0.9547
5900,0.1303,0.9548
5950,0.1299,0.9550
6000,0.1298,0.9551
6050,0.1299,0.9550
6100,0.1299,0.9549
6150,0.1300,0.9549
6200,0.1300,0.9549
6250,0.1298,0.9551
6300,0.1297,0.9551
6350,0.0977,0.9712
6400,0.0978,0.9691
6450,0.0994,0.9688
6500,0.0938,0.9714
6550,0.0940,0.9714
6600,0.0929,0.9707
6650,0.0969,0.9691
6700,0.0952,0.9697
6750,0.0979,0.9685
6800,0.0987,0.9683
6850,0.0989,0.9679
6900,0.1011,0.9674
6950,0.1011,0.9674
7000,0.1010,0.9675
7050,0.1010,0.9674
7100,0.1007,0.9676
7150,0.1016,0.9671
7200,0.1018,0.9671
7250,0.1018,0.9671
7300,0.1023,0.9670
7350,0.1026,0.9668
7400,0.1028,0.9667
7450,0.1033,0.9666
7500,0.1039,0.9663
7550,0.1040,0.9663
7600,0.1042,0.9662
7650,0.1040,0.9662
7700,0.1046,0.9659
7750,0.1044,0.9661
7800,0.1053,0.9658
7850,0.1058,0.9657
7900,0.1059,0.9656
7950,0.1063,0.9654
8000,0.1061,0.9655
8050,0.1061,0.9654
8100,0.1062,0.9654
8150,0.1066,0.9653
8200,0.1062,0.9656
8250,0.1059,0.9655
8300,0.1056,0.9657
8350,0.1057,0.9655
8400,0.1060,0.9655
8450,0.0822,0.9743
8500,0.0894,0.9706
8550,0.0846,0.9727
8600,0.0858,0.9720
8650,0.0852,0.9720
8700,0.0840,0.9719
8750,0.0846,0.9721
8800,0.0842,0.9723
8850,0.0844,0.9721
8900,0.0838,0.9724
8950,0.0838,0.9724
9000,0.0842,0.9720
9050,0.0839,0.9721
9100,0.0843,0.9722
9150,0.0843,0.9719
9200,0.0844,0.9719
9250,0.0848,0.9717
9300,0.0848,0.9720
9350,0.0852,0.9716
9400,0.0857,0.9715
9450,0.0866,0.9711
9500,0.0867,0.9712
9550,0.0871,0.9712
9600,0.0869,0.9714
9650,0.0863,0.9716
9700,0.0868,0.9714
9750,0.0864,0.9717
9800,0.0872,0.9714
9850,0.0871,0.9713
9900,0.0875,0.9712
9950,0.0874,0.9713
10000,0.0874,0.9712
10050,0.0874,0.9712
10100,0.0879,0.9711
10150,0.0881,0.9710
10200,0.0881,0.9710
10250,0.0882,0.9711
10300,0.0882,0.9710
10350,0.0882,0.9710
10400,0.0884,0.9710
10450,0.0882,0.9711
10500,0.0880,0.9711
10550,0.0784,0.9812
10600,0.0745,0.9801
10650,0.0667,0.9820
10700,0.0662,0.9812
10750,0.0660,0.9814
10800,0.0663,0.9810
10850,0.0682,0.9804
10900,0.0681,0.9799
10950,0.0697,0.9789
11000,0.0706,0.9789
11050,0.0703,0.9791
11100,0.0702,0.9789
11150,0.0698,0.9790
11200,0.0703,0.9790
11250,0.0696,0.9793
11300,0.0709,0.9789
11350,0.0711,0.9787
11400,0.0711,0.9787
11450,0.0712,0.9787
11500,0.0711,0.9784
11550,0.0716,0.9784
11600,0.0715,0.9785
11650,0.0720,0.9784
11700,0.0714,0.9786
11750,0.0709,0.9788
11800,0.0715,0.9786
11850,0.0713,0.9787
11900,0.0721,0.9784
