iteration,train_loss,train_accuracy
50,0.7036,0.4669
100,0.7052,0.4503
150,0.7034,0.4467
200,0.6971,0.4759
250,0.6821,0.5051
300,0.6467,0.5574
350,0.6095,0.5974
400,0.5738,0.6315
450,0.5459,0.6578
500,0.5205,0.6807
550,0.5028,0.6981
600,0.4860,0.7135
650,0.4713,0.7264
700,0.4576,0.7369
750,0.4451,0.7472
800,0.4337,0.7569
850,0.4252,0.7641
900,0.4169,0.7712
950,0.4088,0.7780
1000,0.4021,0.7837
1050,0.3956,0.7891
1100,0.3891,0.7939
1150,0.3831,0.7986
1200,0.3779,0.8026
1250,0.3723,0.8067
1300,0.3674,0.8105
1350,0.3626,0.8141
1400,0.3578,0.8175
1450,0.3538,0.8204
1500,0.3497,0.8235
1550,0.3455,0.8266
1600,0.3426,0.8289
1650,0.3384,0.8319
1700,0.3351,0.8341
1750,0.3319,0.8364
1800,0.3290,0.8384
1850,0.3265,0.8405
1900,0.3233,0.8426
1950,0.3207,0.8445
2000,0.3187,0.8461
2050,0.3162,0.8478
2100,0.3141,0.8493
2150,0.1786,0.9348
2200,0.1969,0.9297
2250,0.1907,0.9311
2300,0.1873,0.9319
2350,0.1838,0.9333
2400,0.1839,0.9337
2450,0.1800,0.9352
2500,0.1820,0.9336
2550,0.1852,0.9322
2600,0.1845,0.9322
2650,0.1834,0.9332
2700,0.1842,0.9331
2750,0.1843,0.9332
2800,0.1841,0.9331
2850,0.1848,0.9328
2900,0.1839,0.9332
2950,0.1834,0.9336
3000,0.1829,0.9331
3050,0.1832,0.9334
3100,0.1831,0.9335
3150,0.1830,0.9336
3200,0.1839,0.9331
3250,0.1843,0.9331
3300,0.1843,0.9331
3350,0.1840,0.9332
3400,0.1834,0.9335
3450,0.1830,0.9337
3500,0.1825,0.9337
3550,0.1818,0.9339
3600,0.1819,0.9340
3650,0.1815,0.9341
3700,0.1808,0.9344
3750,0.1804,0.9347
3800,0.1795,0.9351
3850,0.1794,0.9350
3900,0.1784,0.9354
3950,0.1784,0.9354
4000,0.1786,0.9354
4050,0.1785,0.9355
4100,0.1783,0.9356
4150,0.1780,0.9357
4200,0.1780,0.9355
4250,0.1659,0.9449
4300,0.1409,0.9507
4350,0.1416,0.9525
4400,0.1365,0.9538
4450,0.1366,0.9524
4500,0.1335,0.9539
4550,0.1340,0.9546
4600,0.1336,0.9543
4650,0.1328,0.9544
4700,0.1340,0.9543
4750,0.1331,0.9547
4800,0.1333,0.9544
4850,0.1338,0.9541
4900,0.1342,0.9541
4950,0.1344,0.9540
5000,0.1347,0.9538
5050,0.1339,0.9541
5100,0.1343,0.9539
5150,0.1341,0.9539
5200,0.1352,0.9534
5250,0.1356,0.9534
5300,0.1356,0.9533
5350,0.1358,0.9531
5400,0.1353,0.9534
5450,0.1352,0.9538
5500,0.1352,0.9538
5550,0.1356,0.9535
5600,0.1362,0.9533
5650,0.1364,0.9533
5700,0.1369,0.9530
5750,0.1363,0.9531
5800,0.1358,0.9533
5850,0.1361,0.9531
5900,0.1361,0.9529
5950,0.1367,0.9527
6000,0.1370,0.9527
6050,0.1374,0.9524
6100,0.1373,0.9524
6150,0.1372,0.9524
6200,0.1376,0.9522
6250,0.1378,0.9520
6300,0.1379,0.9520
6350,0.1050,0.9655
6400,0.1046,0.9645
6450,0.1050,0.9640
6500,0.1014,0.9666
6550,0.1036,0.9661
6600,0.1073,0.9647
6650,0.1066,0.9648
6700,0.1086,0.9646
6750,0.1062,0.9653
6800,0.1044,0.9661
6850,0.1048,0.9660
6900,0.1060,0.9659
6950,0.1059,0.9655
7000,0.1072,0.9649
7050,0.1098,0.9639
7100,0.1091,0.9643
7150,0.1094,0.9643
7200,0.1094,0.9644
7250,0.1101,0.9642
7300,0.1102,0.9641
7350,0.1098,0.9645
7400,0.1085,0.9650
7450,0.1084,0.9650
7500,0.1085,0.9648
7550,0.1083,0.9647
7600,0.1084,0.9646
7650,0.1087,0.9646
7700,0.1086,0.9645
7750,0.1092,0.9644
7800,0.1096,0.9643
7850,0.1100,0.9641
7900,0.1103,0.9638
7950,0.1102,0.9638
8000,0.1104,0.9636
8050,0.1107,0.9635
8100,0.1113,0.9633
8150,0.1117,0.9631
8200,0.1114,0.9633
8250,0.1114,0.9632
8300,0.1111,0.9633
8350,0.1110,0.9634
8400,0.1113,0.9631
8450,0.0909,0.9697
8500,0.0809,0.9747
8550,0.0842,0.9741
8600,0.0874,0.9735
8650,0.0864,0.9745
8700,0.0872,0.9736
8750,0.0875,0.9736
8800,0.0866,0.9734
8850,0.0861,0.9737
8900,0.0862,0.9735
8950,0.0877,0.9732
9000,0.0867,0.9737
9050,0.0880,0.9735
9100,0.0887,0.9732
9150,0.0905,0.9727
9200,0.0910,0.9724
9250,0.0914,0.9723
9300,0.0909,0.9724
9350,0.0914,0.9720
9400,0.0914,0.9719
9450,0.0909,0.9720
9500,0.0906,0.9719
9550,0.0907,0.9719
9600,0.0901,0.9722
9650,0.0911,0.9718
9700,0.0905,0.9720
9750,0.0907,0.9719
9800,0.0904,0.9720
9850,0.0908,0.9717
9900,0.0905,0.9719
9950,0.0902,0.9721
10000,0.0902,0.9721
10050,0.0900,0.9721
10100,0.0900,0.9722
10150,0.0903,0.9721
10200,0.0903,0.9720
10250,0.0910,0.9717
10300,0.0913,0.9716
10350,0.0912,0.9717
10400,0.0914,0.9716
10450,0.0915,0.9716
10500,0.0913,0.9717
10550,0.0574,0.9844
10600,0.0599,0.9848
10650,0.0625,0.9829
10700,0.0629,0.9823
10750,0.0642,0.9815
10800,0.0653,0.9815
10850,0.0676,0.9808
10900,0.0682,0.9800
10950,0.0685,0.9801
11000,0.0691,0.9799
11050,0.0704,0.9797
11100,0.0715,0.9792
11150,0.0712,0.9793
11200,0.0716,0.9791
11250,0.0730,0.9785
11300,0.0724,0.9786
11350,0.0717,0.9787
11400,0.0713,0.9788
11450,0.0711,0.9789
11500,0.0715,0.9788
11550,0.0724,0.9784
11600,0.0729,0.9780
11650,0.0727,0.9781
11700,0.0731,0.9778
11750,0.0723,0.9782
11800,0.0723,0.9781
11850,0.0724,0.9780
11900,0.0725,0.9781
11950,0.0725,0.9781
12000,0.0728,0.9779
12050,0.0729,0.9779
12100,0.0735,0.9777
12150,0.0737,0.9777
12200,0.0747,0.9775
12250,0.0746,0.9774
12300,0.0745,0.9775
12350,0.0741,0.9776
12400,0.0741,0.9776
12450,0.0741,0.9775
12500,0.0741,0.9774
12550,0.0743,0.9773
12600,0.0742,0.9773
12650,0.0654,0.9832
12700,0.0570,0.9840
12750,0.0573,0.9834
12800,0.0576,0.9838
12850,0.0555,0.9845
12900,0.0555,0.9844
12950,0.0552,0.9846
13000,0.0547,0.9846
13050,0.0551,0.9845
13100,0.0552,0.9842
13150,0.0559,0.9840
13200,0.0567,0.9838
13250,0.0573,0.9839
13300,0.0581,0.9839
13350,0.0580,0.9837
13400,0.0582,0.9836
13450,0.0576,0.9837
13500,0.0567,0.9840
13550,0.0566,0.9840
