lr,lora_r,lora_alpha,weight_decay,max_steps,eval_every,sft_preset,sft_val_ratio,lora_type,best_eval_perplexity,best_eval_loss,best_iteration,last_eval_perplexity,last_eval_loss,last_iteration,post_peak_last_over_best,post_peak_tail_mean_over_best,metrics_dir,status
0.0008657523,64,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.763518,1.560987,200,6.486699,1.869754,500,1.3617454578737813,1.2739818204388715,deepseek_autogrid/results_mlora_correlation_refine/lr_8p6575e-04_r64_a32_st500_wd_1p0000e-02,ok
0.0004620259,64,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.7662,1.561549,200,5.128486,1.63481,500,1.0760114976291384,1.047190031982456,deepseek_autogrid/results_mlora_correlation_refine/lr_4p6203e-04_r64_a64_st500_wd_1p0000e-02,ok
0.0004620259,16,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.770281,1.562405,300,4.941434,1.597656,500,1.0358790184477602,1.027373335029949,deepseek_autogrid/results_mlora_correlation_refine/lr_4p6203e-04_r16_a64_st500_wd_1p0000e-02,ok
0.0003039822,16,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.776389,1.563685,500,4.776389,1.563685,500,1.0,1.0,deepseek_autogrid/results_mlora_correlation_refine/lr_3p0398e-04_r16_a64_st500_wd_1p0000e-02,ok
0.0005696072,16,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.777234,1.563862,400,4.812316,1.571178,500,1.0073435799879178,1.0073435799879178,deepseek_autogrid/results_mlora_correlation_refine/lr_5p6961e-04_r16_a32_st500_wd_1p0000e-02,ok
0.0008657523,64,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.782113,1.564883,100,8.876113,2.183364,500,1.8561069134083616,1.5684326677349532,deepseek_autogrid/results_mlora_correlation_refine/lr_8p6575e-04_r64_a64_st500_wd_1p0000e-02,ok
0.0003747635,64,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.784566,1.565395,300,4.812279,1.571171,500,1.0057921658934166,1.0222371564854875,deepseek_autogrid/results_mlora_correlation_refine/lr_3p7476e-04_r64_a64_st500_wd_1p0000e-02,ok
0.0005696072,64,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.796411,1.567868,300,4.86763,1.582607,500,1.014848393934548,1.0105895845873092,deepseek_autogrid/results_mlora_correlation_refine/lr_5p6961e-04_r64_a32_st500_wd_1p0000e-02,ok
0.0004620259,16,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.79891,1.568389,400,4.802282,1.569091,500,1.0007026595622754,1.0007026595622754,deepseek_autogrid/results_mlora_correlation_refine/lr_4p6203e-04_r16_a32_st500_wd_1p0000e-02,ok
0.0003039822,64,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.803372,1.569318,400,4.805648,1.569792,500,1.0004738337984231,1.0004738337984231,deepseek_autogrid/results_mlora_correlation_refine/lr_3p0398e-04_r64_a64_st500_wd_1p0000e-02,ok
0.0003747635,64,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.803949,1.569438,500,4.803949,1.569438,500,1.0,1.0,deepseek_autogrid/results_mlora_correlation_refine/lr_3p7476e-04_r64_a32_st500_wd_1p0000e-02,ok
0.0003747635,16,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.80408,1.569465,500,4.80408,1.569465,500,1.0,1.0,deepseek_autogrid/results_mlora_correlation_refine/lr_3p7476e-04_r16_a32_st500_wd_1p0000e-02,ok
0.0004620259,64,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.804329,1.569517,400,4.81761,1.572278,500,1.0027643818730982,1.0027643818730982,deepseek_autogrid/results_mlora_correlation_refine/lr_4p6203e-04_r64_a32_st500_wd_1p0000e-02,ok
0.0010673398,16,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.811094,1.570925,100,6.113325,1.810471,500,1.2706725331078546,1.29764155512239,deepseek_autogrid/results_mlora_correlation_refine/lr_1p0673e-03_r16_a32_st500_wd_1p0000e-02,ok
0.0010673398,64,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.816274,1.572001,100,7.596386,2.027673,500,1.5772329398202842,1.462498863229127,deepseek_autogrid/results_mlora_correlation_refine/lr_1p0673e-03_r64_a32_st500_wd_1p0000e-02,ok
0.0002465693,16,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.826251,1.57407,500,4.826251,1.57407,500,1.0,1.0,deepseek_autogrid/results_mlora_correlation_refine/lr_2p4657e-04_r16_a64_st500_wd_1p0000e-02,ok
0.0002465693,64,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.835368,1.575957,500,4.835368,1.575957,500,1.0,1.0,deepseek_autogrid/results_mlora_correlation_refine/lr_2p4657e-04_r64_a64_st500_wd_1p0000e-02,ok
0.0007022383,64,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.860639,1.58117,100,6.667285,1.897213,500,1.371688989863267,1.2740854134610695,deepseek_autogrid/results_mlora_correlation_refine/lr_7p0224e-04_r64_a64_st500_wd_1p0000e-02,ok
0.0003039822,16,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.918617,1.593027,500,4.918617,1.593027,500,1.0,1.0,deepseek_autogrid/results_mlora_correlation_refine/lr_3p0398e-04_r16_a32_st500_wd_1p0000e-02,ok
0.0003039822,64,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.918798,1.593064,500,4.918798,1.593064,500,1.0,1.0,deepseek_autogrid/results_mlora_correlation_refine/lr_3p0398e-04_r64_a32_st500_wd_1p0000e-02,ok
0.0002,16,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.964673,1.602348,500,4.964673,1.602348,500,1.0,1.0,deepseek_autogrid/results_mlora_correlation_refine/lr_2p0000e-04_r16_a64_st500_wd_1p0000e-02,ok
0.0002,64,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.969963,1.603412,500,4.969963,1.603412,500,1.0,1.0,deepseek_autogrid/results_mlora_correlation_refine/lr_2p0000e-04_r64_a64_st500_wd_1p0000e-02,ok
0.0002465693,16,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,5.071323,1.623602,500,5.071323,1.623602,500,1.0,1.0,deepseek_autogrid/results_mlora_correlation_refine/lr_2p4657e-04_r16_a32_st500_wd_1p0000e-02,ok
0.0002465693,64,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,5.072305,1.623795,500,5.072305,1.623795,500,1.0,1.0,deepseek_autogrid/results_mlora_correlation_refine/lr_2p4657e-04_r64_a32_st500_wd_1p0000e-02,ok
0.0002,16,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,5.241315,1.656572,500,5.241315,1.656572,500,1.0,1.0,deepseek_autogrid/results_mlora_correlation_refine/lr_2p0000e-04_r16_a32_st500_wd_1p0000e-02,ok
0.0002,64,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,5.244316,1.657145,500,5.244316,1.657145,500,1.0,1.0,deepseek_autogrid/results_mlora_correlation_refine/lr_2p0000e-04_r64_a32_st500_wd_1p0000e-02,ok
