iteration,train_loss,train_accuracy
50,0.6994,0.4425
100,0.6984,0.4534
150,0.6976,0.4658
200,0.6967,0.4764
250,0.6940,0.4958
300,0.6855,0.5111
350,0.6625,0.5491
400,0.6272,0.5870
450,0.5973,0.6171
500,0.5718,0.6411
550,0.5488,0.6625
600,0.5316,0.6784
650,0.5146,0.6938
700,0.4990,0.7074
750,0.4860,0.7185
800,0.4725,0.7293
850,0.4628,0.7377
900,0.4532,0.7455
950,0.4448,0.7522
1000,0.4354,0.7594
1050,0.4266,0.7662
1100,0.4198,0.7720
1150,0.4138,0.7768
1200,0.4072,0.7817
1250,0.4010,0.7866
1300,0.3960,0.7906
1350,0.3919,0.7940
1400,0.3877,0.7971
1450,0.3833,0.8005
1500,0.3790,0.8036
1550,0.3746,0.8069
1600,0.3705,0.8101
1650,0.3663,0.8132
1700,0.3621,0.8161
1750,0.3581,0.8188
1800,0.3549,0.8210
1850,0.3513,0.8234
1900,0.3477,0.8258
1950,0.3441,0.8282
2000,0.3413,0.8301
2050,0.3386,0.8320
2100,0.3360,0.8338
2150,0.1791,0.9307
2200,0.2086,0.9196
2250,0.2040,0.9238
2300,0.2046,0.9230
2350,0.2007,0.9253
2400,0.2004,0.9237
2450,0.2025,0.9223
2500,0.2034,0.9223
2550,0.2058,0.9217
2600,0.2062,0.9212
2650,0.2043,0.9219
2700,0.2039,0.9221
2750,0.2053,0.9217
2800,0.2066,0.9211
2850,0.2071,0.9210
2900,0.2063,0.9218
2950,0.2060,0.9216
3000,0.2057,0.9220
3050,0.2055,0.9219
3100,0.2068,0.9212
3150,0.2072,0.9211
3200,0.2083,0.9209
3250,0.2075,0.9211
3300,0.2073,0.9211
3350,0.2074,0.9210
3400,0.2069,0.9212
3450,0.2068,0.9212
3500,0.2068,0.9213
3550,0.2065,0.9216
3600,0.2066,0.9215
3650,0.2072,0.9216
3700,0.2073,0.9216
3750,0.2068,0.9217
3800,0.2075,0.9212
3850,0.2068,0.9215
3900,0.2065,0.9217
3950,0.2067,0.9218
4000,0.2065,0.9220
4050,0.2063,0.9220
4100,0.2063,0.9221
4150,0.2066,0.9220
4200,0.2066,0.9219
4250,0.1623,0.9420
4300,0.1585,0.9423
4350,0.1596,0.9432
4400,0.1589,0.9438
4450,0.1597,0.9438
4500,0.1595,0.9440
4550,0.1593,0.9433
4600,0.1611,0.9429
4650,0.1635,0.9415
4700,0.1650,0.9409
4750,0.1642,0.9410
4800,0.1627,0.9411
4850,0.1628,0.9407
4900,0.1628,0.9405
4950,0.1631,0.9408
5000,0.1634,0.9407
5050,0.1635,0.9408
5100,0.1635,0.9407
5150,0.1648,0.9401
5200,0.1645,0.9405
5250,0.1641,0.9407
5300,0.1641,0.9406
5350,0.1651,0.9402
5400,0.1655,0.9402
5450,0.1662,0.9399
5500,0.1665,0.9397
5550,0.1667,0.9393
5600,0.1671,0.9389
5650,0.1675,0.9386
5700,0.1681,0.9384
5750,0.1670,0.9389
5800,0.1682,0.9384
5850,0.1681,0.9383
5900,0.1677,0.9385
5950,0.1673,0.9386
6000,0.1671,0.9387
6050,0.1670,0.9388
6100,0.1672,0.9387
6150,0.1676,0.9385
6200,0.1675,0.9386
6250,0.1677,0.9384
6300,0.1682,0.9384
6350,0.1437,0.9548
6400,0.1309,0.9577
6450,0.1342,0.9527
6500,0.1384,0.9508
6550,0.1340,0.9530
6600,0.1356,0.9527
6650,0.1344,0.9528
6700,0.1356,0.9518
6750,0.1363,0.9516
6800,0.1368,0.9516
6850,0.1403,0.9498
6900,0.1408,0.9491
6950,0.1408,0.9490
7000,0.1430,0.9476
7050,0.1443,0.9475
7100,0.1449,0.9472
7150,0.1451,0.9472
7200,0.1446,0.9472
7250,0.1452,0.9474
7300,0.1454,0.9474
7350,0.1460,0.9473
7400,0.1461,0.9472
7450,0.1463,0.9470
7500,0.1455,0.9473
7550,0.1462,0.9468
7600,0.1468,0.9463
7650,0.1476,0.9457
7700,0.1473,0.9459
7750,0.1473,0.9458
7800,0.1473,0.9460
7850,0.1468,0.9463
7900,0.1460,0.9465
7950,0.1469,0.9462
8000,0.1472,0.9461
8050,0.1468,0.9464
8100,0.1469,0.9463
8150,0.1472,0.9464
8200,0.1474,0.9463
8250,0.1475,0.9462
8300,0.1472,0.9464
8350,0.1474,0.9465
8400,0.1473,0.9464
8450,0.1066,0.9605
8500,0.1236,0.9535
8550,0.1236,0.9557
8600,0.1158,0.9589
8650,0.1171,0.9594
8700,0.1156,0.9606
8750,0.1139,0.9613
8800,0.1169,0.9600
8850,0.1216,0.9582
8900,0.1205,0.9585
8950,0.1207,0.9582
9000,0.1214,0.9582
9050,0.1228,0.9573
9100,0.1218,0.9575
9150,0.1229,0.9571
9200,0.1231,0.9572
9250,0.1231,0.9572
9300,0.1224,0.9575
9350,0.1228,0.9574
9400,0.1239,0.9567
9450,0.1243,0.9568
9500,0.1246,0.9567
9550,0.1250,0.9565
9600,0.1257,0.9562
9650,0.1260,0.9561
9700,0.1263,0.9558
9750,0.1276,0.9552
9800,0.1280,0.9549
9850,0.1285,0.9549
9900,0.1288,0.9547
9950,0.1290,0.9549
10000,0.1290,0.9548
10050,0.1291,0.9548
10100,0.1289,0.9547
10150,0.1297,0.9540
10200,0.1296,0.9542
10250,0.1298,0.9541
10300,0.1305,0.9538
10350,0.1310,0.9536
10400,0.1317,0.9533
10450,0.1320,0.9531
10500,0.1325,0.9530
10550,0.0829,0.9729
10600,0.0848,0.9707
10650,0.0896,0.9683
10700,0.0945,0.9688
10750,0.0974,0.9685
10800,0.0994,0.9679
10850,0.1027,0.9663
10900,0.1024,0.9665
10950,0.1022,0.9663
11000,0.1045,0.9651
11050,0.1044,0.9656
11100,0.1045,0.9657
11150,0.1046,0.9656
11200,0.1070,0.9643
11250,0.1086,0.9636
11300,0.1084,0.9634
11350,0.1095,0.9630
11400,0.1109,0.9626
11450,0.1118,0.9621
11500,0.1115,0.9623
11550,0.1124,0.9621
11600,0.1133,0.9617
11650,0.1143,0.9612
11700,0.1149,0.9610
11750,0.1145,0.9611
11800,0.1142,0.9612
11850,0.1145,0.9611
11900,0.1137,0.9614
11950,0.1142,0.9612
12000,0.1139,0.9612
12050,0.1138,0.9613
12100,0.1146,0.9609
12150,0.1155,0.9606
12200,0.1163,0.9605
12250,0.1173,0.9600
12300,0.1177,0.9599
12350,0.1180,0.9599
12400,0.1178,0.9598
12450,0.1185,0.9594
12500,0.1187,0.9592
12550,0.1192,0.9589
12600,0.1197,0.9587
12650,0.0832,0.9724
12700,0.1008,0.9708
