lr,lora_r,lora_alpha,epochs,weight_decay,adam_beta1,adam_beta2,best_val_acc,best_val_loss,best_iteration,last_val_acc,last_val_loss,last_iteration,metrics_dir,status
0.0015,64,64.0,8,0.0,0.9,0.999,0.9025,0.2928,6312,0.9002,0.3144,16832,distilbert_autogrid/results_mlora_refine/lr_1p5000e-03_r64_a64_ep8_wd_0p0000e00,ok
0.0025,32,32.0,8,0.0,0.9,0.999,0.9025,0.2935,10520,0.8979,0.3224,16832,distilbert_autogrid/results_mlora_refine/lr_2p5000e-03_r32_a32_ep8_wd_0p0000e00,ok
0.0015,32,32.0,8,0.0,0.9,0.999,0.9014,0.2695,4208,0.8956,0.3224,16832,distilbert_autogrid/results_mlora_refine/lr_1p5000e-03_r32_a32_ep8_wd_0p0000e00,ok
0.0015,64,32.0,8,0.01,0.9,0.999,0.9014,0.2501,2104,0.8807,0.3291,16832,distilbert_autogrid/results_mlora_refine/lr_1p5000e-03_r64_a32_ep8_wd_1p0000e-02,ok
0.003,32,64.0,8,0.01,0.9,0.999,0.9014,0.2893,10520,0.9014,0.3237,16832,distilbert_autogrid/results_mlora_refine/lr_3p0000e-03_r32_a64_ep8_wd_1p0000e-02,ok
0.004,32,32.0,8,0.01,0.9,0.999,0.9014,0.2847,12624,0.8979,0.312,16832,distilbert_autogrid/results_mlora_refine/lr_4p0000e-03_r32_a32_ep8_wd_1p0000e-02,ok
0.002,64,32.0,8,0.0,0.9,0.999,0.9002,0.3195,16832,0.9002,0.3195,16832,distilbert_autogrid/results_mlora_refine/lr_2p0000e-03_r64_a32_ep8_wd_0p0000e00,ok
0.0015,32,32.0,8,0.01,0.9,0.999,0.8991,0.3058,8416,0.8922,0.3349,16832,distilbert_autogrid/results_mlora_refine/lr_1p5000e-03_r32_a32_ep8_wd_1p0000e-02,ok
0.003,64,64.0,8,0.01,0.9,0.999,0.8991,0.2932,12624,0.8933,0.3342,16832,distilbert_autogrid/results_mlora_refine/lr_3p0000e-03_r64_a64_ep8_wd_1p0000e-02,ok
0.0035,64,32.0,8,0.0,0.9,0.999,0.8991,0.3019,12624,0.8899,0.3447,16832,distilbert_autogrid/results_mlora_refine/lr_3p5000e-03_r64_a32_ep8_wd_0p0000e00,ok
0.0035,64,32.0,8,0.01,0.9,0.999,0.8991,0.2797,2104,0.8968,0.3142,16832,distilbert_autogrid/results_mlora_refine/lr_3p5000e-03_r64_a32_ep8_wd_1p0000e-02,ok
0.0015,64,32.0,8,0.0,0.9,0.999,0.8979,0.2976,10520,0.8956,0.3199,16832,distilbert_autogrid/results_mlora_refine/lr_1p5000e-03_r64_a32_ep8_wd_0p0000e00,ok
0.0035,32,32.0,8,0.01,0.9,0.999,0.8979,0.3039,6312,0.8945,0.3291,16832,distilbert_autogrid/results_mlora_refine/lr_3p5000e-03_r32_a32_ep8_wd_1p0000e-02,ok
0.002,32,32.0,8,0.01,0.9,0.999,0.8968,0.307,10520,0.8945,0.3189,16832,distilbert_autogrid/results_mlora_refine/lr_2p0000e-03_r32_a32_ep8_wd_1p0000e-02,ok
0.0015,64,64.0,8,0.01,0.9,0.999,0.8956,0.2618,2104,0.8945,0.3329,16832,distilbert_autogrid/results_mlora_refine/lr_1p5000e-03_r64_a64_ep8_wd_1p0000e-02,ok
0.0025,32,64.0,8,0.01,0.9,0.999,0.8956,0.3202,8416,0.8933,0.3456,16832,distilbert_autogrid/results_mlora_refine/lr_2p5000e-03_r32_a64_ep8_wd_1p0000e-02,ok
0.003,64,64.0,8,0.0,0.9,0.999,0.8956,0.2769,2104,0.8922,0.3577,16832,distilbert_autogrid/results_mlora_refine/lr_3p0000e-03_r64_a64_ep8_wd_0p0000e00,ok
0.005,64,32.0,8,0.0,0.9,0.999,0.8945,0.2635,2104,0.883,0.3441,16832,distilbert_autogrid/results_mlora_refine/lr_5p0000e-03_r64_a32_ep8_wd_0p0000e00,ok
0.0035,32,32.0,8,0.0,0.9,0.999,0.8922,0.3233,10520,0.8842,0.3617,16832,distilbert_autogrid/results_mlora_refine/lr_3p5000e-03_r32_a32_ep8_wd_0p0000e00,ok
0.0035,64,64.0,8,0.0,0.9,0.999,0.8922,0.3315,12624,0.8899,0.3302,16832,distilbert_autogrid/results_mlora_refine/lr_3p5000e-03_r64_a64_ep8_wd_0p0000e00,ok
0.004,64,64.0,8,0.01,0.9,0.999,0.8922,0.3138,10520,0.8888,0.3552,16832,distilbert_autogrid/results_mlora_refine/lr_4p0000e-03_r64_a64_ep8_wd_1p0000e-02,ok
0.005,32,32.0,8,0.0,0.9,0.999,0.8899,0.2792,2104,0.8796,0.3606,16832,distilbert_autogrid/results_mlora_refine/lr_5p0000e-03_r32_a32_ep8_wd_0p0000e00,ok
0.004,64,64.0,8,0.0,0.9,0.999,0.8475,0.3707,2104,0.8131,0.486,16832,distilbert_autogrid/results_mlora_refine/lr_4p0000e-03_r64_a64_ep8_wd_0p0000e00,ok
0.004,32,64.0,8,0.0,0.9,0.999,0.8268,0.396,2104,0.7936,0.4943,16832,distilbert_autogrid/results_mlora_refine/lr_4p0000e-03_r32_a64_ep8_wd_0p0000e00,ok
0.005,32,64.0,8,0.01,0.9,0.999,0.82,0.4092,8416,0.8085,0.4648,16832,distilbert_autogrid/results_mlora_refine/lr_5p0000e-03_r32_a64_ep8_wd_1p0000e-02,ok
0.005,64,64.0,8,0.01,0.9,0.999,0.8154,0.4586,12624,0.8073,0.4815,16832,distilbert_autogrid/results_mlora_refine/lr_5p0000e-03_r64_a64_ep8_wd_1p0000e-02,ok
0.005,64,64.0,8,0.0,0.9,0.999,0.8131,0.4389,8416,0.8028,0.4351,16832,distilbert_autogrid/results_mlora_refine/lr_5p0000e-03_r64_a64_ep8_wd_0p0000e00,ok
0.005,32,64.0,8,0.0,0.9,0.999,0.8028,0.4421,2104,0.7901,0.4506,16832,distilbert_autogrid/results_mlora_refine/lr_5p0000e-03_r32_a64_ep8_wd_0p0000e00,ok
