lr,lora_r,lora_alpha,weight_decay,max_steps,eval_every,sft_preset,sft_val_ratio,lora_type,best_eval_perplexity,best_eval_loss,best_iteration,last_eval_perplexity,last_eval_loss,last_iteration,metrics_dir,status
0.0002,64,32.0,0.0,500,100,alpaca_train_1k,0.2,mlora,5.243686,1.657025,500,5.243686,1.657025,500,deepseek_autogrid/results_mlora/lr_2p0000e-04_r64_a32_st500_wd_0p0000e00,ok
0.0002,64,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,5.243941,1.657073,500,5.243941,1.657073,500,deepseek_autogrid/results_mlora/lr_2p0000e-04_r64_a32_st500_wd_1p0000e-02,ok
0.0002,16,16.0,0.0,500,100,alpaca_train_1k,0.2,mlora,5.514396,1.707362,500,5.514396,1.707362,500,deepseek_autogrid/results_mlora/lr_2p0000e-04_r16_a16_st500_wd_0p0000e00,ok
0.0002,16,16.0,0.01,500,100,alpaca_train_1k,0.2,mlora,5.514679,1.707413,500,5.514679,1.707413,500,deepseek_autogrid/results_mlora/lr_2p0000e-04_r16_a16_st500_wd_1p0000e-02,ok
0.0002,32,16.0,0.0,500,100,alpaca_train_1k,0.2,mlora,5.516565,1.707755,500,5.516565,1.707755,500,deepseek_autogrid/results_mlora/lr_2p0000e-04_r32_a16_st500_wd_0p0000e00,ok
0.0002,32,16.0,0.01,500,100,alpaca_train_1k,0.2,mlora,5.516854,1.707808,500,5.516854,1.707808,500,deepseek_autogrid/results_mlora/lr_2p0000e-04_r32_a16_st500_wd_1p0000e-02,ok
0.0002,64,16.0,0.0,500,100,alpaca_train_1k,0.2,mlora,5.518905,1.708179,500,5.518905,1.708179,500,deepseek_autogrid/results_mlora/lr_2p0000e-04_r64_a16_st500_wd_0p0000e00,ok
0.0002,64,16.0,0.01,500,100,alpaca_train_1k,0.2,mlora,5.519188,1.708231,500,5.519188,1.708231,500,deepseek_autogrid/results_mlora/lr_2p0000e-04_r64_a16_st500_wd_1p0000e-02,ok
2e-05,16,64.0,0.0,500,100,alpaca_train_1k,0.2,mlora,14.128759,2.648212,500,14.128759,2.648212,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r16_a64_st500_wd_0p0000e00,ok
2e-05,16,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,14.129011,2.64823,500,14.129011,2.64823,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r16_a64_st500_wd_1p0000e-02,ok
2e-05,32,64.0,0.0,500,100,alpaca_train_1k,0.2,mlora,14.138674,2.648914,500,14.138674,2.648914,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r32_a64_st500_wd_0p0000e00,ok
2e-05,32,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,14.138921,2.648931,500,14.138921,2.648931,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r32_a64_st500_wd_1p0000e-02,ok
2e-05,64,64.0,0.0,500,100,alpaca_train_1k,0.2,mlora,14.157662,2.650256,500,14.157662,2.650256,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r64_a64_st500_wd_0p0000e00,ok
2e-05,64,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,14.157902,2.650273,500,14.157902,2.650273,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r64_a64_st500_wd_1p0000e-02,ok
2e-05,16,32.0,0.0,500,100,alpaca_train_1k,0.2,mlora,15.855239,2.7635,500,15.855239,2.7635,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r16_a32_st500_wd_0p0000e00,ok
2e-05,16,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,15.855373,2.763508,500,15.855373,2.763508,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r16_a32_st500_wd_1p0000e-02,ok
2e-05,32,32.0,0.0,500,100,alpaca_train_1k,0.2,mlora,15.866769,2.764227,500,15.866769,2.764227,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r32_a32_st500_wd_0p0000e00,ok
2e-05,32,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,15.866911,2.764236,500,15.866911,2.764236,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r32_a32_st500_wd_1p0000e-02,ok
2e-05,64,32.0,0.0,500,100,alpaca_train_1k,0.2,mlora,15.886371,2.765462,500,15.886371,2.765462,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r64_a32_st500_wd_0p0000e00,ok
2e-05,64,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,15.886517,2.765471,500,15.886517,2.765471,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r64_a32_st500_wd_1p0000e-02,ok
2e-05,16,16.0,0.0,500,100,alpaca_train_1k,0.2,mlora,16.88297,2.826305,500,16.88297,2.826305,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r16_a16_st500_wd_0p0000e00,ok
2e-05,16,16.0,0.01,500,100,alpaca_train_1k,0.2,mlora,16.88306,2.826311,500,16.88306,2.826311,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r16_a16_st500_wd_1p0000e-02,ok
2e-05,32,16.0,0.0,500,100,alpaca_train_1k,0.2,mlora,16.89475,2.827003,500,16.89475,2.827003,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r32_a16_st500_wd_0p0000e00,ok
2e-05,32,16.0,0.01,500,100,alpaca_train_1k,0.2,mlora,16.894828,2.827008,500,16.894828,2.827008,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r32_a16_st500_wd_1p0000e-02,ok
2e-05,64,16.0,0.0,500,100,alpaca_train_1k,0.2,mlora,16.91359,2.828117,500,16.91359,2.828117,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r64_a16_st500_wd_0p0000e00,ok
2e-05,64,16.0,0.01,500,100,alpaca_train_1k,0.2,mlora,16.913679,2.828123,500,16.913679,2.828123,500,deepseek_autogrid/results_mlora/lr_2p0000e-05_r64_a16_st500_wd_1p0000e-02,ok
2e-06,16,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,17.802207,2.879322,500,17.802207,2.879322,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r16_a64_st500_wd_1p0000e-02,ok
2e-06,16,64.0,0.0,500,100,alpaca_train_1k,0.2,mlora,17.802223,2.879323,500,17.802223,2.879323,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r16_a64_st500_wd_0p0000e00,ok
2e-06,32,64.0,0.0,500,100,alpaca_train_1k,0.2,mlora,17.802784,2.879355,500,17.802784,2.879355,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r32_a64_st500_wd_0p0000e00,ok
2e-06,32,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,17.802784,2.879355,500,17.802784,2.879355,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r32_a64_st500_wd_1p0000e-02,ok
2e-06,64,64.0,0.0,500,100,alpaca_train_1k,0.2,mlora,17.803633,2.879403,500,17.803633,2.879403,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r64_a64_st500_wd_0p0000e00,ok
2e-06,64,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,17.803633,2.879403,500,17.803633,2.879403,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r64_a64_st500_wd_1p0000e-02,ok
2e-06,16,32.0,0.0,500,100,alpaca_train_1k,0.2,mlora,17.937755,2.886908,500,17.937755,2.886908,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r16_a32_st500_wd_0p0000e00,ok
2e-06,16,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,17.937755,2.886908,500,17.937755,2.886908,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r16_a32_st500_wd_1p0000e-02,ok
2e-06,32,32.0,0.0,500,100,alpaca_train_1k,0.2,mlora,17.938282,2.886937,500,17.938282,2.886937,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r32_a32_st500_wd_0p0000e00,ok
2e-06,32,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,17.938282,2.886937,500,17.938282,2.886937,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r32_a32_st500_wd_1p0000e-02,ok
2e-06,64,32.0,0.0,500,100,alpaca_train_1k,0.2,mlora,17.939016,2.886978,500,17.939016,2.886978,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r64_a32_st500_wd_0p0000e00,ok
2e-06,64,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,17.939016,2.886978,500,17.939016,2.886978,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r64_a32_st500_wd_1p0000e-02,ok
2e-06,16,16.0,0.0,500,100,alpaca_train_1k,0.2,mlora,18.006466,2.890731,500,18.006466,2.890731,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r16_a16_st500_wd_0p0000e00,ok
2e-06,16,16.0,0.01,500,100,alpaca_train_1k,0.2,mlora,18.006466,2.890731,500,18.006466,2.890731,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r16_a16_st500_wd_1p0000e-02,ok
2e-06,32,16.0,0.0,500,100,alpaca_train_1k,0.2,mlora,18.006873,2.890754,500,18.006873,2.890754,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r32_a16_st500_wd_0p0000e00,ok
2e-06,32,16.0,0.01,500,100,alpaca_train_1k,0.2,mlora,18.006873,2.890754,500,18.006873,2.890754,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r32_a16_st500_wd_1p0000e-02,ok
2e-06,64,16.0,0.0,500,100,alpaca_train_1k,0.2,mlora,18.007422,2.890784,500,18.007422,2.890784,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r64_a16_st500_wd_0p0000e00,ok
2e-06,64,16.0,0.01,500,100,alpaca_train_1k,0.2,mlora,18.007422,2.890784,500,18.007422,2.890784,500,deepseek_autogrid/results_mlora/lr_2p0000e-06_r64_a16_st500_wd_1p0000e-02,ok
2e-07,64,64.0,0.0,500,100,alpaca_train_1k,0.2,mlora,18.049415,2.893113,500,18.049415,2.893113,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r64_a64_st500_wd_0p0000e00,ok
2e-07,64,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,18.049415,2.893113,500,18.049415,2.893113,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r64_a64_st500_wd_1p0000e-02,ok
2e-07,16,64.0,0.0,500,100,alpaca_train_1k,0.2,mlora,18.04942,2.893114,500,18.04942,2.893114,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r16_a64_st500_wd_0p0000e00,ok
2e-07,16,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,18.04942,2.893114,500,18.04942,2.893114,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r16_a64_st500_wd_1p0000e-02,ok
2e-07,32,64.0,0.0,500,100,alpaca_train_1k,0.2,mlora,18.049427,2.893114,500,18.049427,2.893114,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r32_a64_st500_wd_0p0000e00,ok
2e-07,32,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,18.049427,2.893114,500,18.049427,2.893114,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r32_a64_st500_wd_1p0000e-02,ok
2e-07,16,32.0,0.0,500,100,alpaca_train_1k,0.2,mlora,18.062298,2.893827,500,18.062298,2.893827,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r16_a32_st500_wd_0p0000e00,ok
2e-07,16,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,18.062298,2.893827,500,18.062298,2.893827,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r16_a32_st500_wd_1p0000e-02,ok
2e-07,32,32.0,0.0,500,100,alpaca_train_1k,0.2,mlora,18.062302,2.893827,500,18.062302,2.893827,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r32_a32_st500_wd_0p0000e00,ok
2e-07,32,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,18.062302,2.893827,500,18.062302,2.893827,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r32_a32_st500_wd_1p0000e-02,ok
2e-07,64,32.0,0.0,500,100,alpaca_train_1k,0.2,mlora,18.062304,2.893827,500,18.062304,2.893827,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r64_a32_st500_wd_0p0000e00,ok
2e-07,64,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,18.062304,2.893827,500,18.062304,2.893827,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r64_a32_st500_wd_1p0000e-02,ok
2e-07,16,16.0,0.0,500,100,alpaca_train_1k,0.2,mlora,18.068738,2.894183,500,18.068738,2.894183,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r16_a16_st500_wd_0p0000e00,ok
2e-07,16,16.0,0.01,500,100,alpaca_train_1k,0.2,mlora,18.068738,2.894183,500,18.068738,2.894183,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r16_a16_st500_wd_1p0000e-02,ok
2e-07,32,16.0,0.0,500,100,alpaca_train_1k,0.2,mlora,18.068743,2.894184,500,18.068743,2.894184,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r32_a16_st500_wd_0p0000e00,ok
2e-07,32,16.0,0.01,500,100,alpaca_train_1k,0.2,mlora,18.068743,2.894184,500,18.068743,2.894184,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r32_a16_st500_wd_1p0000e-02,ok
2e-07,64,16.0,0.0,500,100,alpaca_train_1k,0.2,mlora,18.068747,2.894184,500,18.068747,2.894184,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r64_a16_st500_wd_0p0000e00,ok
2e-07,64,16.0,0.01,500,100,alpaca_train_1k,0.2,mlora,18.068747,2.894184,500,18.068747,2.894184,500,deepseek_autogrid/results_mlora/lr_2p0000e-07_r64_a16_st500_wd_1p0000e-02,ok
