iteration,train_loss,train_accuracy
50,0.6943,0.5138
100,0.6940,0.5084
150,0.6841,0.5410
200,0.6365,0.6055
250,0.5764,0.6579
300,0.5373,0.6920
350,0.5062,0.7178
400,0.4826,0.7366
450,0.4605,0.7530
500,0.4412,0.7671
550,0.4264,0.7782
600,0.4163,0.7860
650,0.4049,0.7942
700,0.3967,0.8008
750,0.3868,0.8075
800,0.3791,0.8129
850,0.3711,0.8185
900,0.3649,0.8228
950,0.3609,0.8257
1000,0.3568,0.8289
1050,0.3532,0.8316
1100,0.3502,0.8339
1150,0.3473,0.8365
1200,0.3469,0.8372
1250,0.3451,0.8389
1300,0.3442,0.8399
1350,0.3438,0.8404
1400,0.3439,0.8407
1450,0.3445,0.8408
1500,0.3462,0.8403
1550,0.3474,0.8398
1600,0.3486,0.8396
1650,0.3500,0.8393
1700,0.3503,0.8392
1750,0.3514,0.8389
1800,0.3521,0.8384
1850,0.3533,0.8380
1900,0.3537,0.8380
1950,0.3545,0.8377
2000,0.3551,0.8375
2050,0.3562,0.8369
2100,0.3559,0.8373
2150,0.3894,0.8125
2200,0.3899,0.8197
2250,0.3840,0.8245
2300,0.3765,0.8312
2350,0.3757,0.8335
2400,0.3784,0.8330
2450,0.3776,0.8327
2500,0.3772,0.8333
2550,0.3796,0.8316
2600,0.3805,0.8313
2650,0.3789,0.8312
2700,0.3781,0.8325
2750,0.3762,0.8333
2800,0.3745,0.8341
2850,0.3728,0.8347
2900,0.3711,0.8356
2950,0.3718,0.8348
3000,0.3714,0.8350
3050,0.3703,0.8357
3100,0.3709,0.8348
3150,0.3708,0.8350
3200,0.3689,0.8367
3250,0.3686,0.8370
3300,0.3676,0.8374
3350,0.3672,0.8376
3400,0.3672,0.8379
3450,0.3667,0.8383
3500,0.3672,0.8377
3550,0.3670,0.8380
3600,0.3667,0.8382
3650,0.3663,0.8385
3700,0.3668,0.8382
3750,0.3665,0.8383
3800,0.3658,0.8387
3850,0.3659,0.8383
3900,0.3660,0.8384
3950,0.3659,0.8386
4000,0.3655,0.8389
4050,0.3658,0.8388
4100,0.3654,0.8391
4150,0.3652,0.8392
4200,0.3647,0.8393
4250,0.3344,0.8549
4300,0.3487,0.8482
4350,0.3465,0.8528
4400,0.3495,0.8521
4450,0.3518,0.8511
4500,0.3500,0.8491
4550,0.3485,0.8513
4600,0.3498,0.8499
4650,0.3481,0.8503
4700,0.3457,0.8507
4750,0.3489,0.8484
4800,0.3504,0.8478
4850,0.3524,0.8464
4900,0.3526,0.8452
4950,0.3525,0.8454
5000,0.3516,0.8462
5050,0.3504,0.8468
5100,0.3486,0.8481
5150,0.3497,0.8475
5200,0.3494,0.8477
5250,0.3498,0.8474
5300,0.3506,0.8469
5350,0.3504,0.8470
5400,0.3500,0.8475
5450,0.3497,0.8477
5500,0.3497,0.8472
5550,0.3502,0.8470
5600,0.3494,0.8477
5650,0.3491,0.8477
5700,0.3488,0.8477
5750,0.3490,0.8475
5800,0.3489,0.8474
5850,0.3490,0.8472
5900,0.3485,0.8476
5950,0.3492,0.8473
6000,0.3498,0.8469
6050,0.3497,0.8466
6100,0.3502,0.8466
6150,0.3502,0.8467
6200,0.3501,0.8469
6250,0.3499,0.8469
6300,0.3497,0.8472
6350,0.3456,0.8413
6400,0.3513,0.8438
6450,0.3489,0.8431
6500,0.3490,0.8418
6550,0.3519,0.8399
6600,0.3525,0.8396
6650,0.3511,0.8413
6700,0.3491,0.8434
6750,0.3488,0.8440
6800,0.3490,0.8439
6850,0.3478,0.8455
6900,0.3494,0.8450
6950,0.3488,0.8453
7000,0.3479,0.8460
7050,0.3478,0.8467
7100,0.3470,0.8472
7150,0.3460,0.8474
7200,0.3484,0.8470
7250,0.3469,0.8477
7300,0.3468,0.8478
7350,0.3468,0.8475
7400,0.3468,0.8479
7450,0.3465,0.8478
7500,0.3454,0.8481
7550,0.3455,0.8485
7600,0.3461,0.8485
7650,0.3461,0.8485
7700,0.3464,0.8484
7750,0.3467,0.8485
7800,0.3470,0.8484
7850,0.3464,0.8488
7900,0.3469,0.8484
7950,0.3463,0.8488
8000,0.3463,0.8487
8050,0.3455,0.8492
8100,0.3447,0.8497
8150,0.3450,0.8498
8200,0.3446,0.8500
8250,0.3447,0.8498
8300,0.3451,0.8497
8350,0.3451,0.8498
8400,0.3453,0.8496
8450,0.3503,0.8539
8500,0.3227,0.8642
8550,0.3376,0.8505
8600,0.3373,0.8536
8650,0.3445,0.8519
8700,0.3433,0.8526
8750,0.3421,0.8537
8800,0.3432,0.8530
8850,0.3444,0.8529
8900,0.3444,0.8519
8950,0.3451,0.8514
9000,0.3451,0.8515
9050,0.3438,0.8517
9100,0.3436,0.8517
9150,0.3431,0.8518
9200,0.3440,0.8510
9250,0.3442,0.8508
9300,0.3445,0.8503
9350,0.3448,0.8500
9400,0.3450,0.8500
9450,0.3459,0.8493
9500,0.3455,0.8496
9550,0.3453,0.8496
9600,0.3449,0.8493
9650,0.3449,0.8488
9700,0.3440,0.8496
9750,0.3445,0.8496
9800,0.3444,0.8494
9850,0.3449,0.8492
9900,0.3454,0.8491
9950,0.3462,0.8488
10000,0.3469,0.8484
10050,0.3471,0.8483
10100,0.3474,0.8481
10150,0.3475,0.8480
10200,0.3471,0.8481
10250,0.3466,0.8483
10300,0.3466,0.8483
10350,0.3478,0.8477
10400,0.3473,0.8478
10450,0.3472,0.8479
10500,0.3469,0.8479
10550,0.3271,0.8635
10600,0.3170,0.8648
10650,0.3428,0.8512
10700,0.3482,0.8476
10750,0.3503,0.8476
10800,0.3528,0.8473
10850,0.3505,0.8474
10900,0.3480,0.8480
10950,0.3465,0.8488
11000,0.3462,0.8482
11050,0.3424,0.8501
11100,0.3447,0.8495
11150,0.3453,0.8495
11200,0.3450,0.8489
11250,0.3461,0.8483
11300,0.3456,0.8482
11350,0.3449,0.8483
11400,0.3461,0.8482
11450,0.3456,0.8484
11500,0.3464,0.8477
11550,0.3463,0.8483
11600,0.3450,0.8493
11650,0.3459,0.8489
11700,0.3457,0.8486
11750,0.3466,0.8478
11800,0.3468,0.8474
11850,0.3464,0.8476
11900,0.3464,0.8478
11950,0.3461,0.8479
12000,0.3467,0.8476
12050,0.3459,0.8481
12100,0.3459,0.8482
12150,0.3454,0.8482
12200,0.3457,0.8482
12250,0.3457,0.8484
12300,0.3455,0.8485
12350,0.3464,0.8481
12400,0.3466,0.8483
12450,0.3461,0.8486
12500,0.3469,0.8484
12550,0.3472,0.8480
12600,0.3471,0.8482
12650,0.3161,0.8702
12700,0.3544,0.8475
12750,0.3442,0.8495
12800,0.3388,0.8517
12850,0.3419,0.8519
12900,0.3421,0.8516
12950,0.3386,0.8529
13000,0.3381,0.8527
13050,0.3410,0.8506
13100,0.3425,0.8497
13150,0.3436,0.8490
13200,0.3435,0.8484
13250,0.3424,0.8500
13300,0.3430,0.8498
13350,0.3437,0.8495
13400,0.3426,0.8500
13450,0.3419,0.8502
13500,0.3427,0.8496
13550,0.3421,0.8496
13600,0.3417,0.8500
13650,0.3418,0.8492
13700,0.3411,0.8498
13750,0.3407,0.8500
13800,0.3403,0.8502
13850,0.3407,0.8499
13900,0.3417,0.8498
13950,0.3420,0.8494
14000,0.3417,0.8497
14050,0.3417,0.8499
14100,0.3417,0.8497
14150,0.3420,0.8496
14200,0.3419,0.8497
14250,0.3418,0.8497
14300,0.3420,0.8494
14350,0.3418,0.8495
14400,0.3425,0.8493
14450,0.3432,0.8488
14500,0.3427,0.8490
14550,0.3430,0.8487
14600,0.3429,0.8486
14650,0.3429,0.8489
14700,0.3431,0.8487
14750,0.3394,0.8438
14800,0.3461,0.8416
14850,0.3422,0.8484
14900,0.3467,0.8477
14950,0.3465,0.8490
15000,0.3456,0.8486
15050,0.3414,0.8494
15100,0.3441,0.8474
15150,0.3447,0.8472
15200,0.3458,0.8459
15250,0.3452,0.8466
15300,0.3439,0.8470
15350,0.3436,0.8468
15400,0.3434,0.8471
15450,0.3425,0.8472
15500,0.3421,0.8472
15550,0.3406,0.8486
