iteration,train_loss,train_accuracy
50,0.6930,0.5056
100,0.6936,0.4972
150,0.6933,0.5002
200,0.6901,0.5194
250,0.6689,0.5523
300,0.6217,0.6025
350,0.5802,0.6403
400,0.5471,0.6697
450,0.5206,0.6927
500,0.5001,0.7101
550,0.4821,0.7256
600,0.4649,0.7394
650,0.4517,0.7504
700,0.4421,0.7585
750,0.4323,0.7669
800,0.4222,0.7748
850,0.4134,0.7816
900,0.4071,0.7870
950,0.3997,0.7927
1000,0.3931,0.7976
1050,0.3864,0.8024
1100,0.3810,0.8066
1150,0.3751,0.8109
1200,0.3707,0.8141
1250,0.3653,0.8178
1300,0.3613,0.8208
1350,0.3559,0.8242
1400,0.3516,0.8272
1450,0.3473,0.8301
1500,0.3441,0.8325
1550,0.3405,0.8349
1600,0.3369,0.8371
1650,0.3336,0.8393
1700,0.3304,0.8412
1750,0.3270,0.8433
1800,0.3244,0.8452
1850,0.3212,0.8473
1900,0.3190,0.8490
1950,0.3166,0.8508
2000,0.3133,0.8528
2050,0.3112,0.8541
2100,0.3094,0.8556
2150,0.1873,0.9334
2200,0.1821,0.9336
2250,0.1834,0.9317
2300,0.1849,0.9308
2350,0.1820,0.9319
2400,0.1794,0.9337
2450,0.1797,0.9340
2500,0.1794,0.9336
2550,0.1789,0.9339
2600,0.1794,0.9335
2650,0.1800,0.9337
2700,0.1797,0.9336
2750,0.1779,0.9344
2800,0.1792,0.9341
2850,0.1796,0.9341
2900,0.1799,0.9339
2950,0.1804,0.9339
3000,0.1794,0.9344
3050,0.1793,0.9341
3100,0.1790,0.9341
3150,0.1791,0.9341
3200,0.1784,0.9343
3250,0.1783,0.9344
3300,0.1774,0.9348
3350,0.1773,0.9347
3400,0.1769,0.9349
3450,0.1770,0.9349
3500,0.1763,0.9352
3550,0.1764,0.9352
3600,0.1762,0.9352
3650,0.1764,0.9350
3700,0.1770,0.9349
3750,0.1768,0.9351
3800,0.1764,0.9352
3850,0.1765,0.9352
3900,0.1761,0.9353
3950,0.1756,0.9356
4000,0.1757,0.9356
4050,0.1754,0.9358
4100,0.1754,0.9358
4150,0.1748,0.9360
4200,0.1749,0.9359
4250,0.1359,0.9561
4300,0.1290,0.9558
4350,0.1270,0.9569
4400,0.1256,0.9564
4450,0.1208,0.9583
4500,0.1255,0.9567
4550,0.1240,0.9567
4600,0.1234,0.9570
4650,0.1252,0.9565
4700,0.1254,0.9563
4750,0.1260,0.9560
4800,0.1262,0.9557
4850,0.1281,0.9550
4900,0.1286,0.9551
4950,0.1288,0.9550
5000,0.1285,0.9549
5050,0.1294,0.9544
5100,0.1304,0.9540
5150,0.1305,0.9541
5200,0.1312,0.9539
5250,0.1313,0.9540
5300,0.1314,0.9539
5350,0.1309,0.9540
5400,0.1310,0.9541
5450,0.1315,0.9540
5500,0.1317,0.9538
5550,0.1316,0.9537
5600,0.1317,0.9536
5650,0.1316,0.9539
5700,0.1317,0.9539
5750,0.1319,0.9539
5800,0.1317,0.9540
5850,0.1315,0.9542
5900,0.1312,0.9543
5950,0.1311,0.9542
6000,0.1309,0.9541
6050,0.1304,0.9544
6100,0.1309,0.9542
6150,0.1308,0.9543
6200,0.1309,0.9543
6250,0.1313,0.9540
6300,0.1314,0.9541
6350,0.0922,0.9688
6400,0.0876,0.9709
6450,0.0888,0.9703
6500,0.0895,0.9704
6550,0.0913,0.9697
6600,0.0937,0.9683
6650,0.0962,0.9674
6700,0.0972,0.9674
6750,0.0981,0.9669
6800,0.0999,0.9661
6850,0.1023,0.9653
