lr,lora_r,lora_alpha,epochs,weight_decay,adam_beta1,adam_beta2,best_val_acc,best_val_loss,best_iteration,last_val_acc,last_val_loss,last_iteration,metrics_dir,status
0.0002,64,16.0,8,0.01,0.9,0.999,0.9025,0.3074,21045,0.9002,0.3309,33672,distilbert_autogrid/results_refine/lr_2p0000e-04_r64_a16_ep8_wd_1p0000e-02,ok
0.00025,64,16.0,8,0.01,0.9,0.999,0.9025,0.3514,33672,0.9025,0.3514,33672,distilbert_autogrid/results_refine/lr_2p5000e-04_r64_a16_ep8_wd_1p0000e-02,ok
0.00015,64,32.0,8,0.0,0.9,0.999,0.9014,0.2634,8418,0.8991,0.3333,33672,distilbert_autogrid/results_refine/lr_1p5000e-04_r64_a32_ep8_wd_0p0000e00,ok
0.0002,64,32.0,8,0.0,0.9,0.999,0.9014,0.3334,25254,0.8979,0.3601,33672,distilbert_autogrid/results_refine/lr_2p0000e-04_r64_a32_ep8_wd_0p0000e00,ok
0.00025,64,32.0,8,0.0,0.9,0.999,0.9014,0.3329,25254,0.8979,0.3674,33672,distilbert_autogrid/results_refine/lr_2p5000e-04_r64_a32_ep8_wd_0p0000e00,ok
0.00035,32,32.0,8,0.01,0.9,0.999,0.9014,0.3233,16836,0.8911,0.3982,33672,distilbert_autogrid/results_refine/lr_3p5000e-04_r32_a32_ep8_wd_1p0000e-02,ok
0.00035,64,16.0,8,0.0,0.9,0.999,0.9014,0.2646,8418,0.8991,0.3562,33672,distilbert_autogrid/results_refine/lr_3p5000e-04_r64_a16_ep8_wd_0p0000e00,ok
0.00035,64,32.0,8,0.0,0.9,0.999,0.9014,0.2968,16836,0.9014,0.3501,33672,distilbert_autogrid/results_refine/lr_3p5000e-04_r64_a32_ep8_wd_0p0000e00,ok
0.0002,32,32.0,8,0.01,0.9,0.999,0.9002,0.2921,8418,0.8979,0.3821,33672,distilbert_autogrid/results_refine/lr_2p0000e-04_r32_a32_ep8_wd_1p0000e-02,ok
0.00025,32,16.0,8,0.01,0.9,0.999,0.9002,0.3676,29463,0.8968,0.3799,33672,distilbert_autogrid/results_refine/lr_2p5000e-04_r32_a16_ep8_wd_1p0000e-02,ok
0.00025,64,16.0,8,0.0,0.9,0.999,0.9002,0.2693,4209,0.9002,0.3216,33672,distilbert_autogrid/results_refine/lr_2p5000e-04_r64_a16_ep8_wd_0p0000e00,ok
0.00025,64,32.0,8,0.01,0.9,0.999,0.9002,0.279,8418,0.8933,0.3582,33672,distilbert_autogrid/results_refine/lr_2p5000e-04_r64_a32_ep8_wd_1p0000e-02,ok
0.0003,64,16.0,8,0.0,0.9,0.999,0.9002,0.2902,12627,0.8956,0.3569,33672,distilbert_autogrid/results_refine/lr_3p0000e-04_r64_a16_ep8_wd_0p0000e00,ok
0.00035,32,16.0,8,0.0,0.9,0.999,0.9002,0.383,33672,0.9002,0.383,33672,distilbert_autogrid/results_refine/lr_3p5000e-04_r32_a16_ep8_wd_0p0000e00,ok
0.0004,64,32.0,8,0.01,0.9,0.999,0.9002,0.3454,33672,0.9002,0.3454,33672,distilbert_autogrid/results_refine/lr_4p0000e-04_r64_a32_ep8_wd_1p0000e-02,ok
0.00035,32,32.0,8,0.0,0.9,0.999,0.8991,0.3406,29463,0.8968,0.3762,33672,distilbert_autogrid/results_refine/lr_3p5000e-04_r32_a32_ep8_wd_0p0000e00,ok
0.0004,64,16.0,8,0.01,0.9,0.999,0.8991,0.2746,12627,0.883,0.3802,33672,distilbert_autogrid/results_refine/lr_4p0000e-04_r64_a16_ep8_wd_1p0000e-02,ok
0.0005,32,32.0,8,0.0,0.9,0.999,0.8991,0.294,8418,0.8945,0.3924,33672,distilbert_autogrid/results_refine/lr_5p0000e-04_r32_a32_ep8_wd_0p0000e00,ok
0.00015,32,32.0,8,0.0,0.9,0.999,0.8979,0.2699,8418,0.8933,0.3668,33672,distilbert_autogrid/results_refine/lr_1p5000e-04_r32_a32_ep8_wd_0p0000e00,ok
0.00035,64,16.0,8,0.01,0.9,0.999,0.8979,0.2743,8418,0.8956,0.3754,33672,distilbert_autogrid/results_refine/lr_3p5000e-04_r64_a16_ep8_wd_1p0000e-02,ok
0.0005,32,16.0,8,0.01,0.9,0.999,0.8968,0.3065,12627,0.8865,0.3879,33672,distilbert_autogrid/results_refine/lr_5p0000e-04_r32_a16_ep8_wd_1p0000e-02,ok
0.00015,64,16.0,8,0.0,0.9,0.999,0.8956,0.3111,16836,0.8945,0.3449,33672,distilbert_autogrid/results_refine/lr_1p5000e-04_r64_a16_ep8_wd_0p0000e00,ok
0.0004,64,16.0,8,0.0,0.9,0.999,0.8956,0.3083,12627,0.8956,0.3698,33672,distilbert_autogrid/results_refine/lr_4p0000e-04_r64_a16_ep8_wd_0p0000e00,ok
0.0004,32,32.0,8,0.0,0.9,0.999,0.8945,0.3122,12627,0.8922,0.3776,33672,distilbert_autogrid/results_refine/lr_4p0000e-04_r32_a32_ep8_wd_0p0000e00,ok
0.0005,32,32.0,8,0.01,0.9,0.999,0.8933,0.3739,33672,0.8933,0.3739,33672,distilbert_autogrid/results_refine/lr_5p0000e-04_r32_a32_ep8_wd_1p0000e-02,ok
0.0005,64,16.0,8,0.0,0.9,0.999,0.8899,0.3085,12627,0.8842,0.4017,33672,distilbert_autogrid/results_refine/lr_5p0000e-04_r64_a16_ep8_wd_0p0000e00,ok
